,name,url,position,score,hometown,offers
0,Ashaad Clayton,https://247sports.com/player/ashaad-clayton-46036383,RB ,0.9171," Warren Easton (New Orleans, LA)    ","['Colorado', 'Kansas', 'Alabama', 'Arkansas', 'Auburn', 'Georgia', 'Houston', 'LSU', 'Nebraska', 'Tennessee', 'Texas', 'Texas A&M', 'Tulane', 'UTSA', 'Virginia', 'Western Kentucky', 'Georgia Tech']"
1,Christian Gonzalez,https://247sports.com/player/christian-gonzalez-46080020,S ,0.8958," The Colony (The Colony, TX)    ","['Colorado', 'Arizona State', 'Notre Dame', 'Purdue', 'Alabama', 'Arkansas', 'Baylor', 'Boston College', 'Duke', 'Hawaii', 'Illinois', 'Kansas', 'Kansas State', 'Miami', 'Michigan State', 'Minnesota', 'Missouri', 'North Texas', 'Northwestern', 'Ohio State', 'Oklahoma State', 'Ole Miss', 'Rutgers', 'SMU', 'Southern Miss', 'TCU', 'Texas Tech', 'Toledo', 'Tulane', 'Tulsa', 'Utah', 'Washington State']"
2,Brendon Lewis,https://247sports.com/player/brendon-lewis-46036862,DUAL ,0.8873," Melissa (Melissa, TX)    ","['Colorado', 'Boston College', 'Houston', 'Kansas', 'Mississippi State', 'Missouri', 'Nebraska', 'Nevada', 'North Texas', 'SMU', 'Syracuse', 'TCU', 'Texas Tech', 'Vanderbilt', 'Washington State']"
3,Brenden Rice,https://247sports.com/player/brenden-rice-46053118,WR ,0.8862," Hamilton (Chandler, AZ)    ","['Colorado', 'Michigan', 'Arizona', 'Arizona State', 'California', 'Iowa State', 'Louisville', 'Nebraska', 'Northern Arizona', 'Oklahoma State', 'Ole Miss', 'Oregon', 'Oregon State', 'Purdue', 'San Diego State', 'Texas A&M', 'UCLA', 'USC', 'Utah', 'Washington State', 'Wisconsin', 'Washington']"
4,Jordan Berry,https://247sports.com/player/jordan-berry-89525,DT ,0.8689," Narbonne (Harbor City, CA)    ","['Colorado', 'LSU', 'Arizona', 'Boston College', 'Florida', 'Georgia', 'Oregon', 'Oregon State', 'USC']"
5,Jake Wray,https://247sports.com/player/jake-wray-46036881,OT ,0.8643," Marietta (Marietta, GA)    ","['Colorado', 'Ohio State', 'Alabama', 'Arkansas', 'Colorado State', 'Florida', 'Florida State', 'Georgia', 'Illinois', 'Kentucky', 'Louisville', 'LSU', 'Memphis', 'Miami', 'Michigan', 'Michigan State', 'Mississippi State', 'Notre Dame', 'Ole Miss', 'Oregon', 'Pittsburgh', 'South Carolina', 'Tennessee', 'Texas', 'Texas A&M', 'Utah', 'Vanderbilt', 'Washington State', 'Washington State', 'Clemson', 'Memphis']"
6,Caleb Fauria,https://247sports.com/player/caleb-fauria-46076638,TE ,0.8640," Bishop Feehan (Attleboro, MA)    ","['Colorado', 'Boston College', 'Connecticut', 'Iowa', 'Louisville', 'LSU', 'Maryland', 'Massachusetts', 'Ole Miss', 'Pittsburgh', 'Rutgers', 'Syracuse', 'TCU', 'Wisconsin', 'Arizona State', 'Georgia Tech', 'Tulane']"
7,Mister Williams,https://247sports.com/player/mister-williams-46058244,OLB ,0.8593," Oaks Christian (Westlake Village, CA)    ","['Colorado', 'California', 'Kansas State', 'LSU', 'Nebraska', 'UCLA']"
8,Carson Lee,https://247sports.com/player/carson-lee-46052719,OC ,0.8558," Cherry Creek (Englewood, CO)    ","['Colorado', 'Arizona', 'Arizona State', 'Boise State', 'Colorado State', 'Duke', 'Indiana', 'Iowa State', 'Kansas', 'Kansas State', 'Michigan', 'Missouri', 'Nebraska', 'Oklahoma State', 'Purdue', 'Utah', 'Virginia', 'Washington State', 'Wyoming', 'Yale', 'Auburn', 'Texas A&M']"
9,Toren Pittman,https://247sports.com/player/toren-pittman-46050098,OLB ,0.8552," Lone Star (Frisco, TX)    ","['Colorado', 'Arkansas', 'Arkansas State', 'Baylor', 'Nevada', 'Tulsa', 'UTSA']"
