,name,url,position,score,hometown,offers
0,Gervon Dexter,https://247sports.com/player/gervon-dexter-46056492,DT ,0.9832," Lake Wales (Lake Wales, FL)                  ","['Florida', 'Georgia', 'Alabama', 'Arkansas', 'Charlotte', 'Cincinnati', 'Clemson', 'East Tennessee State', 'FIU', 'Florida Atlantic', 'Indiana', 'Kansas', 'Miami', 'Mississippi State', 'NC State', 'Nebraska', 'North Carolina', 'Ohio', 'Ole Miss', 'Pittsburgh', 'Rutgers', 'Southern Miss', 'Syracuse', 'Tennessee', 'Texas A&M', 'USF', 'Virginia', 'Virginia Tech', 'West Virginia', 'Western Michigan']"
1,Derek Wingo,https://247sports.com/player/derek-wingo-46041166,OLB ,0.9638," St. Thomas Aquinas (Fort Lauderdale, FL)                  ","['Florida', 'Penn State', 'Auburn', 'Boston College', 'Cincinnati', 'Clemson', 'Colorado', 'FIU', 'Florida Atlantic', 'Florida State', 'Georgia', 'Kentucky', 'Louisville', 'Maryland', 'Miami', 'Michigan', 'Missouri', 'Nebraska', 'Ohio State', 'Oklahoma', 'Ole Miss', 'Oregon', 'Pittsburgh', 'Purdue', 'South Carolina', 'Southern Miss', 'Tennessee', 'Texas', 'Wisconsin']"
2,Jahari Rogers,https://247sports.com/player/jahari-rogers-46057921,CB ,0.9452," Arlington (Arlington, TX)                    ","['Florida', 'Arkansas', 'Texas', 'Alabama', 'Auburn', 'Baylor', 'Boston College', 'Colorado', 'Colorado', 'Georgia', 'Georgia Tech', 'Houston', 'Illinois', 'Illinois State', 'Kansas', 'Kansas State', 'Louisiana Tech', 'Louisville', 'LSU', 'Miami', 'Minnesota', 'Nebraska', 'North Texas', 'Notre Dame', 'Oklahoma', 'Penn State', 'SMU', 'TCU', 'Tennessee', 'Texas Tech', 'Tulane', 'UCF', 'Louisiana', 'Texas State']"
3,Ethan Pouncey,https://247sports.com/player/ethan-pouncey-46079307,CB ,0.9421," Winter Park (Winter Park, FL)                    ","['Florida', 'Texas', 'Alabama', 'Auburn', 'Bowling Green', 'Clemson', 'Duke', 'Florida State', 'Georgia', 'Liberty', 'LSU', 'Marshall', 'Miami', 'Michigan', 'North Carolina', 'Notre Dame', 'Penn State', 'Stanford', 'UCF', 'Virginia', 'West Virginia']"
4,Issiah Walker Jr.,https://247sports.com/player/issiah-walker-jr-46041758,OT ,0.9385," Norland (Miami, FL)                    ","['Florida', 'South Carolina', 'Auburn', 'FIU', 'Florida State', 'Illinois', 'Jackson State', 'Kentucky', 'Louisville', 'LSU', 'Maryland', 'Miami', 'Mississippi State', 'Ohio State', 'Penn State', 'UCF', 'USF']"
5,Antwaun Powell,https://247sports.com/player/antwaun-powell-46057108,WDE ,0.9261," Indian River (Chesapeake, VA)                    ","['Florida', 'North Carolina', 'Oklahoma', 'Virginia Tech', 'Duke', 'East Carolina', 'Georgia Tech', 'Liberty', 'Louisville', 'Marshall', 'Maryland', 'Miami', 'Michigan', 'Nebraska', 'Notre Dame', 'Penn State', 'Pittsburgh', 'Rutgers', 'TCU', 'Tennessee', 'Virginia']"
6,Anthony Richardson,https://247sports.com/player/anthony-richardson-46049661,DUAL ,0.9230," Eastside (Gainesville, FL)                    ","['Florida', 'Bethune-Cookman', 'Boston College', 'FIU', 'Florida Atlantic', 'Georgia', 'Georgia Southern', 'Jacksonville State', 'Louisville', 'Michigan', 'Penn State', 'Rutgers', 'South Alabama', 'Southern Miss', 'UCF', 'USF', 'Virginia Tech']"
7,Jaquavion Fraziars,https://247sports.com/player/jaquavion-fraziars-46049490,WR ,0.9230," Dunnellon (Dunnellon, FL)                  ","['Florida', 'Penn State', 'Arkansas', 'Auburn', 'Georgia', 'Kentucky', 'Louisville', 'Miami', 'Nebraska', 'Tennessee', 'UCF', 'Virginia', 'Florida State']"
8,Johnnie Brown,https://247sports.com/player/johnnie-brown-46046612,DT ,0.9156," Sebring (Sebring, FL)                  ","['Florida', 'Florida State', 'Georgia', 'LSU', 'Mississippi State', 'Southern Miss', 'Tennessee', 'Texas A&M', 'USF', 'Miami']"
9,Leonard Manuel,https://247sports.com/player/leonard-manuel-45573264,WR ,0.9098," Stranahan (Fort Lauderdale, FL)    ","['Florida', 'Baylor', 'Miami', 'Tennessee', 'Arkansas', 'Auburn', 'Boston College', 'Bowling Green', 'Chattanooga', 'Florida Atlantic', 'Florida State', 'Georgia', 'Georgia State', 'Georgia Tech', 'Kansas', 'Kentucky', 'Louisville', 'LSU', 'Marshall', 'Michigan', 'Mississippi State', 'Missouri', 'Nebraska', 'North Carolina', 'Ohio', 'Ohio State', 'Ole Miss', 'Oregon', 'Penn State', 'Purdue', 'South Alabama', 'South Carolina', 'Texas', 'Texas A&M', 'Troy', 'UCF', 'USC', 'West Virginia', 'Oklahoma State', 'UCLA']"
10,Marc Britt,https://247sports.com/player/marc-britt-46038476,ATH ,0.9050," Miami Christian School (Miami, FL)    ","['Florida', 'Miami', 'Alabama', 'Baylor', 'Bowling Green', 'Florida Atlantic', 'Indiana', 'Jackson State', 'Louisville', 'NC State', 'Nebraska', 'Penn State', 'Pittsburgh', 'Purdue', 'Syracuse', 'Wake Forest']"
11,Joshua Braun,https://247sports.com/player/joshua-braun-83391,OT ,0.9037," Suwannee (Live Oak, FL)                    ","['Florida', 'Georgia', 'South Carolina', 'Auburn', 'Florida State', 'Miami', 'Michigan', 'USF']"
12,Jalen Lee,https://247sports.com/player/jalen-lee-46077155,DT ,0.8951," Live Oak (Watson, LA)                  ","['Florida', 'LSU', 'Alabama', 'Georgia', 'Houston', 'Kansas', 'Louisiana', 'Louisiana Tech', 'Louisiana-Monroe', 'Oklahoma', 'Ole Miss', 'South Alabama', 'Southern Miss', 'Tennessee', 'Texas', 'Texas A&M', 'Tulane']"
13,Mordecai McDaniel,https://247sports.com/player/mordecai-mcdaniel-46053292,CB ,0.8946," St. John's College HS (Washington, DC)    ","['Florida', 'Notre Dame', 'Penn State', 'Tennessee', 'Alabama', 'Arizona', 'Boston College', 'LSU', 'Maryland', 'Massachusetts', 'Michigan', 'Michigan State', 'Nebraska', 'Oklahoma', 'Ole Miss', 'Syracuse', 'Wisconsin']"
14,Rashad Torrence II,https://247sports.com/player/rashad-torrence-ii-46041913,S ,0.8944," Marietta (Marietta, GA)                    ","['Florida', 'Auburn', 'USC', 'Alabama', 'Boston College', 'Clemson', 'Duke', 'Georgia Tech', 'Kentucky', 'Louisville', 'Miami', 'Michigan', 'Michigan State', 'Mississippi State', 'Nebraska', 'Notre Dame', 'Ole Miss', 'Oregon', 'Penn State', 'Pittsburgh', 'Purdue', 'Stanford', 'Syracuse', 'Tennessee', 'Vanderbilt', 'Wisconsin', 'Georgia Tech']"
15,Lamar Goods,https://247sports.com/player/lamar-goods-46056026,DT ,0.8926," St. Thomas More (Oakdale, CT)                    ","['Florida', 'Kentucky', 'Georgia', 'Massachusetts', 'Michigan State', 'Rutgers', 'Syracuse', 'Tennessee', 'Virginia', 'Virginia Tech', 'West Virginia']"
