,name,url,position,score,hometown,offers
0,Demorie Tate,https://247sports.com/player/demorie-tate-46055223,CB ,0.9762," Freedom (Orlando, FL)                  ","['Florida State', 'Alabama', 'Auburn', 'Georgia', 'Miami', 'Florida', 'Florida Atlantic', 'Pittsburgh', 'Tennessee', 'UCF']"
1,Malachi Wideman,https://247sports.com/player/malachi-wideman-46046942,WR ,0.9403," Venice (Venice, FL)                  ","['Florida State', 'Washington State', 'Auburn', 'Florida', 'Florida Atlantic', 'Georgia', 'Kentucky', 'Memphis', 'Miami', 'NC State', 'UCF', 'Missouri']"
2,Lawrance Toafili,https://247sports.com/player/lawrance-toafili-46039737,RB ,0.9261," Pinellas Park (Largo, FL)    ","['Florida State', 'Alabama', 'Auburn', 'Duke', 'Florida', 'LSU', 'Maryland', 'Miami', 'Michigan', 'Nebraska', 'North Carolina', 'Notre Dame', 'Ohio State', 'Oregon', 'Syracuse', 'UCF', 'USF', 'Virginia', 'Arkansas', 'Kentucky', 'Louisville', 'Northwestern', 'Purdue']"
3,Jadarius McKnight,https://247sports.com/player/jadarius-mcknight-46041817,S ,0.9181," Dunbar (Fort Myers, FL)    ","['Florida State', 'Miami', 'Arkansas', 'Auburn', 'Florida', 'Illinois', 'Nebraska', 'Notre Dame', 'Oregon', 'Southern Miss', 'Tennessee', 'Texas A&M']"
4,Stephen Dix Jr.,https://247sports.com/player/stephen-dix-jr-46039535,OLB ,0.9110," Dr. Phillips (Orlando, FL)                 ","['Florida State', 'Miami', 'Bowling Green', 'Clemson', 'Florida', 'Florida Atlantic', 'Georgia Tech', 'Indiana', 'Kentucky', 'Louisville', 'Mercer', 'Michigan', 'Mississippi State', 'Nebraska', 'North Carolina', 'Ohio State', 'South Carolina', 'Tennessee', 'Virginia Tech', 'Arkansas']"
5,Ja'Khi Douglas,https://247sports.com/player/jakhi-douglas-46050903,WR ,0.9107," Terrebonne (Houma, LA)                  ","['Florida State', 'Alabama', 'Arkansas-Pine Bluff', 'Auburn', 'Colorado', 'Florida', 'Georgia', 'Houston', 'Kansas', 'Kentucky', 'Louisiana', 'Louisiana Tech', 'Louisville', 'LSU', 'Memphis', 'Miami', 'Michigan', 'Mississippi State', 'Missouri', 'Nebraska', 'Nicholls State', 'SMU', 'Southern Miss', 'TCU', 'Tennessee', 'Toledo', 'Tulane', 'Virginia', 'Washington State']"
6,Emanuel Rogers,https://247sports.com/player/emanuel-rogers-46079822,DT ,0.8937," Jensen Beach (Jensen Beach, FL)                  ","['Florida State', 'Auburn', 'FIU', 'Florida', 'Florida Atlantic', 'Indiana', 'LSU', 'Miami', 'Michigan', 'Oregon', 'Penn State', 'Pittsburgh', 'Rutgers', 'Tennessee', 'UCF', 'USF', 'Virginia']"
7,Jayion McCluster,https://247sports.com/player/jayion-mccluster-46039453,ILB ,0.8858," Largo (Largo, FL)                    ","['Florida State', 'Auburn', 'Boston College', 'Florida', 'Iowa', 'Iowa State', 'Kentucky', 'LSU', 'Miami', 'Michigan', 'North Carolina', 'Oregon', 'Syracuse', 'Tennessee', 'Toledo', 'UCF', 'USF', 'Virginia Tech', 'West Virginia']"
8,Thomas Shrader,https://247sports.com/player/thomas-shrader-46076578,OC ,0.8701," Venice (Venice, FL)    ","['Florida State', 'Louisville', 'Boston College', 'Coastal Carolina', 'Duke', 'FIU', 'Georgia Tech', 'Illinois', 'Indiana', 'Iowa State', 'Kansas', 'Kentucky', 'Louisiana-Monroe', 'Middle Tennessee State', 'Minnesota', 'Old Dominion', 'Pittsburgh', 'Purdue', 'Syracuse', 'Troy', 'Tulane', 'UCF', 'USF', 'Vanderbilt', 'West Virginia', 'Western Kentucky', 'Auburn', 'Illinois', 'Miami']"
9,Tate Rodemaker,https://247sports.com/player/tate-rodemaker-46052628,PRO ,0.8647," Valdosta (Valdosta, GA)                    ","['Florida State', 'Baylor', 'Pittsburgh', 'Virginia Tech', 'USF', 'Akron', 'Appalachian State', 'Boston College', 'Bowling Green', 'Coastal Carolina', 'Colorado State', 'Eastern Kentucky', 'Florida Atlantic', 'Liberty', 'Louisiana', 'Middle Tennessee State', 'Nevada', 'Northwestern', 'South Alabama', 'Southern Miss', 'Toledo', 'Troy', 'Tulane', 'Utah', 'Western Kentucky', 'Georgia Tech', 'Memphis', 'Miami']"
10,Zane Herring,https://247sports.com/player/zane-herring-46051859,OG ,0.8621," Madison County (Madison, FL)                    ","['Florida State', 'Nebraska', 'Florida Atlantic', 'Georgia Tech', 'Pittsburgh', 'Tennessee', 'Tulane', 'UAB', 'UCF', 'USF', 'Virginia', 'Arkansas', 'Florida', 'Georgia', 'Georgia Southern', 'Oklahoma', 'Ole Miss']"
11,Lloyd Willis,https://247sports.com/player/lloyd-willis-46056767,OT ,0.8505," Killian (Miami, FL)                  ","['Florida State', 'FIU', 'Florida A&M', 'Indiana', 'UCF', 'Miami']"
12,Carter Boatwright,https://247sports.com/player/carter-boatwright-46085547,TE ,0.8485," Colquitt County (Moultrie, GA)                    ","['Florida State', 'Akron', 'Appalachian State', 'Central Michigan', 'Chattanooga', 'Coastal Carolina', 'East Carolina', 'Eastern Michigan', 'FIU', 'Jacksonville State', 'Liberty', 'Marshall', 'Mercer', 'Navy', 'Pittsburgh', 'Samford', 'South Alabama', 'Southern Miss', 'Tennessee State', 'Troy', 'UAB', 'UCF', 'Auburn']"
