,name,url,position,score,hometown,offers
0,Mekhail Sherman,https://247sports.com/player/mekhail-sherman-46043181,OLB ,0.9921," St. John's College HS (Washington, DC)    ","['Georgia', 'Ohio State', 'Alabama', 'Arizona', 'Arkansas', 'Auburn', 'Clemson', 'Colorado', 'Florida', 'Florida State', 'Indiana', 'Kentucky', 'LSU', 'Maryland', 'Michigan', 'Michigan State', 'Nebraska', 'North Carolina', 'Notre Dame', 'Oklahoma', 'Oregon', 'Penn State', 'Rutgers', 'South Carolina', 'Syracuse', 'Temple', 'Tennessee', 'Texas', 'Texas A&M', 'Vanderbilt', 'Virginia', 'Virginia Tech', 'Wisconsin']"
1,Broderick Jones,https://247sports.com/player/broderick-jones-46051865,OT ,0.9911," Lithonia (Lithonia, GA)    ","['Georgia', 'Alabama', 'Maryland', 'Tennessee', 'Clemson']"
2,Tate Ratledge,https://247sports.com/player/tate-ratledge-94238,OT ,0.9815," Darlington School (Rome, GA)    ","['Georgia', 'Alabama', 'Auburn', 'Florida', 'LSU', 'Michigan', 'Mississippi State', 'Ole Miss', 'Penn State', 'South Carolina', 'Tennessee', 'Virginia Tech', 'West Virginia', 'Nebraska']"
3,Kendall Milton,https://247sports.com/player/kendall-milton-46041050,RB ,0.9809," Buchanan (Clovis, CA)                    ","['Georgia', 'Alabama', 'LSU', 'Ohio State', 'Arizona', 'Arizona State', 'Arkansas', 'Auburn', 'Baylor', 'Brigham Young', 'California', 'Colorado', 'Colorado State', 'Florida', 'Florida State', 'Fresno State', 'Kansas State', 'Miami', 'Michigan', 'Michigan State', 'Mississippi State', 'Nebraska', 'Nevada', 'North Carolina', 'Notre Dame', 'Oklahoma', 'Oregon', 'Oregon State', 'Penn State', 'Purdue', 'San Jose State', 'Tennessee', 'Texas', 'Texas A&M', 'USC', 'Utah', 'Washington', 'Washington State', 'Wisconsin']"
4,Marcus Rosemy,https://247sports.com/player/marcus-rosemy-46043121,WR ,0.9795," St. Thomas Aquinas (Fort Lauderdale, FL)    ","['Georgia', 'USF', 'Florida', 'Arkansas', 'Auburn', 'Boston College', 'Cincinnati', 'East Carolina', 'Florida State', 'Illinois', 'Kentucky', 'LSU', 'Maryland', 'Miami', 'Michigan', 'NC State', 'Notre Dame', 'Ohio State', 'Ole Miss', 'Penn State', 'Pittsburgh', 'Purdue', 'Southern Miss', 'Tennessee', 'Texas', 'Texas A&M', 'Wake Forest']"
5,Jalen Carter,https://247sports.com/player/jalen-carter-46042405,DT ,0.9746," Apopka (Apopka, FL)    ","['Georgia', 'USF', 'Alabama', 'Auburn', 'Clemson', 'Florida', 'Florida State', 'Miami', 'North Carolina', 'Ole Miss', 'Purdue']"
6,Sedrick Van Pran,https://247sports.com/player/sedrick-van-pran-46052225,OC ,0.9488," Warren Easton (New Orleans, LA)    ","['Georgia', 'Oklahoma', 'Texas A&M', 'Alabama', 'Arkansas', 'Auburn', 'Florida', 'Kansas', 'Kentucky', 'Louisiana', 'Louisiana Tech', 'LSU', 'Miami', 'Mississippi State', 'Ole Miss', 'SMU', 'Southern Miss', 'Tennessee', 'Texas State', 'Tulane', 'Virginia', 'West Virginia']"
7,Jalen Kimber,https://247sports.com/player/jalen-kimber-46048842,CB ,0.943," Mansfield Timberview (Arlington, TX)                    ","['Georgia', 'Alabama', 'Arkansas', 'Auburn', 'Baylor', 'California', 'Colorado', 'Florida', 'Georgia Tech', 'Houston', 'Illinois', 'Illinois State', 'Kansas', 'LSU', 'Michigan', 'Missouri', 'Nebraska', 'Notre Dame', 'Ohio State', 'Oklahoma', 'Oklahoma State', 'Ole Miss', 'Oregon', 'Penn State', 'Purdue', 'SMU', 'South Carolina', 'TCU', 'Tennessee', 'Texas', 'Texas A&M', 'Texas Tech', 'Boise State', 'Boston College', 'Clemson', 'Indiana', 'Northwestern', 'Oregon']"
8,Chad Lindberg,https://247sports.com/player/chad-lindberg-46047350,OT ,0.9292," Clear Creek (League City, TX)    ","['Georgia', 'LSU', 'Texas', 'Texas A&M', 'USC', 'Alabama', 'Arizona', 'Arkansas', 'Auburn', 'Baylor', 'Boston College', 'Clemson', 'Colorado', 'Florida', 'Georgia Tech', 'Memphis', 'Miami', 'Mississippi State', 'Missouri', 'Northwestern', 'Notre Dame', 'Ohio State', 'Oklahoma', 'Oklahoma State', 'Ole Miss', 'Oregon', 'Purdue', 'SMU', 'Stanford', 'TCU', 'Texas Tech', 'Tulane', 'Tulsa', 'Utah', 'Vanderbilt', 'Virginia Tech', 'Wisconsin']"
9,Carson Beck,https://247sports.com/player/carson-beck-46053141,PRO ,0.9191," Mandarin (Jacksonville, FL)                    ","['Georgia', 'Alabama', 'Boston College', 'Florida', 'Florida Atlantic', 'Florida State', 'Georgia Tech', 'Maryland', 'Miami', 'Penn State', 'Purdue', 'USF', 'Arkansas']"
10,Warren Brinson,https://247sports.com/player/warren-brinson-46057836,DT ,0.9094," IMG Academy (Bradenton, FL)                    ","['Georgia', 'Alabama', 'Florida', 'Florida State', 'Miami', 'Oklahoma', 'South Carolina', 'Tennessee', 'Clemson', 'Mississippi State']"
11,Nazir Stackhouse,https://247sports.com/player/nazir-stackhouse-46045556,DT ,0.9093," Columbia (Decatur, GA)    ","['Georgia', 'Alabama', 'Florida', 'Georgia Tech', 'LSU', 'Mississippi State', 'Nebraska', 'Tennessee', 'Florida State', 'Ohio State', 'Texas A&M']"
12,Justin Robinson,https://247sports.com/player/justin-robinson-46058884,WR ,0.902," Eagle's Landing Christian (Mcdonough, GA)                    ","['Georgia', 'Nebraska', 'Maryland', 'Ball State', 'Boston College', 'Florida', 'Florida State', 'Georgia Tech', 'Kentucky', 'Notre Dame', 'Penn State', 'South Carolina', 'Tennessee', 'UCF', 'Virginia', 'Wake Forest', 'West Virginia', 'Miami', 'Michigan State', 'NC State']"
13,Devin Willock,https://247sports.com/player/devin-willock-46051802,OT ,0.8573," Paramus Catholic (Paramus, NJ)    ","['Georgia', 'Penn State', 'Boston College', 'Buffalo', 'Georgia Tech', 'Howard', 'Indiana', 'Massachusetts', 'Rutgers', 'Virginia', 'Delaware', 'Kentucky', 'Stony Brook', 'Syracuse', 'Temple', 'West Virginia']"
14,Jared Zirkel,https://247sports.com/player/jared-zirkel-46085595,K ,0.8263," Tivy (Kerrville, TX)  ","['Georgia', 'Air Force', 'Army']"
