,name,url,position,score,hometown,offers
0,Jahmyr Gibbs,https://247sports.com/player/jahmyr-gibbs-46080991,RB ,0.928," Dalton (Dalton, GA)    ","['Georgia Tech', 'Florida', 'Ohio State', 'Alabama', 'LSU', 'Ole Miss', 'Charlotte', 'Coastal Carolina', 'East Carolina', 'Georgia Southern', 'Iowa State', 'Louisville', 'Michigan', 'Mississippi State', 'Missouri', 'NC State', 'Nebraska', 'North Carolina', 'Purdue', 'South Carolina', 'Syracuse', 'Texas A&M', 'Troy', 'USC', 'Virginia Tech', 'Wake Forest']"
1,Miles Brooks,https://247sports.com/player/miles-brooks-46040393,CB ,0.9185," Trinity Christian Academy (Jacksonville, FL)    ","['Georgia Tech', 'Alabama', 'Arizona', 'Auburn', 'Duke', 'Florida', 'Illinois', 'Kentucky', 'Louisville', 'Nebraska', 'Ohio State', 'Oklahoma', 'Oregon', 'Penn State', 'Purdue', 'South Carolina', 'Utah', 'Valdosta State', 'Virginia', 'Virginia Tech', 'West Virginia', 'Georgia']"
2,Bryce Gowdy,https://247sports.com/player/bryce-gowdy-46050312,WR ,0.898," Deerfield Beach (Deerfield Beach, FL)      ","['Georgia Tech', 'Syracuse', 'West Virginia', 'Arkansas', 'Auburn', 'Boston College', 'Bowling Green', 'Florida', 'Florida Atlantic', 'Florida State', 'Illinois', 'Kentucky', 'Louisville', 'Minnesota', 'NC State', 'Nebraska', 'Ole Miss', 'Oregon', 'Penn State', 'Pittsburgh', 'Purdue', 'South Carolina', 'Temple', 'Tennessee', 'USF', 'Utah', 'Virginia', 'Virginia Tech', 'Notre Dame']"
3,Jared Ivey,https://247sports.com/player/jared-ivey-46076703,WDE ,0.8952," North Gwinnett (Suwanee, GA)    ","['Georgia Tech', 'Colorado', 'Nebraska', 'Arizona State', 'Duke', 'Iowa', 'Iowa State', 'Miami', 'Michigan State', 'Minnesota', 'Notre Dame', 'Pittsburgh', 'Purdue', 'Rice', 'Stanford', 'Tennessee', 'Virginia', 'Virginia Tech', 'Wake Forest', 'West Virginia']"
4,Nate McCollum,https://247sports.com/player/nate-mccollum-46059488,WR ,0.8906," Dutchtown (Hampton, GA)    ","['Georgia Tech', 'NC State', 'Akron', 'Appalachian State', 'Coastal Carolina', 'East Carolina', 'Florida A&M', 'Georgia Southern', 'Georgia State', 'Kansas', 'Kent State', 'Mercer', 'Michigan', 'Michigan State', 'South Alabama', 'Syracuse', 'Tennessee', 'Western Kentucky', 'Troy']"
5,Ryan King,https://247sports.com/player/ryan-king-46056049,WR ,0.883," Grayson (Loganville, GA)    ","['Georgia Tech', 'Maryland', 'Arkansas', 'Baylor', 'Coastal Carolina', 'FIU', 'Kentucky', 'LSU', 'Minnesota', 'North Carolina', 'Ole Miss', 'Rutgers', 'Tennessee', 'Texas', 'Texas A&M', 'Vanderbilt', 'Wake Forest', 'Clemson', 'Michigan']"
6,Michael Rankins,https://247sports.com/player/michael-rankins-46052237,OT ,0.8755," Lennard (Ruskin, FL)   ","['Georgia Tech', 'Minnesota', 'Appalachian State', 'Auburn', 'Coastal Carolina', 'Duke', 'Florida State', 'Illinois', 'Louisville', 'Miami', 'Pittsburgh', 'Southern Miss', 'UCF', 'USF', 'Wake Forest']"
7,Jordan Williams,https://247sports.com/player/jordan-williams-46055673,OT ,0.8742," Gainesville (Gainesville, GA)      ","['Georgia Tech', 'Appalachian State', 'Ball State', 'East Carolina', 'Indiana', 'NC State', 'Rutgers', 'SMU', 'South Carolina', 'Vanderbilt']"
8,Tyson Meiguez,https://247sports.com/player/tyson-meiguez-46053216,OLB ,0.8721," Creekside (Fairburn, GA)    ","['Georgia Tech', 'Baylor', 'Boston College', 'Cincinnati', 'Coastal Carolina', 'Colorado State', 'Duke', 'East Carolina', 'Georgia Southern', 'Georgia State', 'Iowa State', 'Kansas', 'Kentucky', 'Maryland', 'Michigan State', 'Minnesota', 'Missouri', 'Pittsburgh', 'South Alabama', 'Syracuse', 'Tennessee', 'UAB', 'USF', 'Wake Forest', 'Western Kentucky', 'Michigan State', 'Purdue', 'Tulane']"
9,Jalen Huff,https://247sports.com/player/jalen-huff-46036492,CB ,0.8689," Buford (Buford, GA)      ","['Georgia Tech', 'Nebraska', 'Oklahoma', 'Arizona State', 'Arkansas State', 'Auburn', 'Boston College', 'Colorado', 'Duke', 'FIU', 'Florida A&M', 'Illinois', 'Kentucky', 'Louisiana Tech', 'Louisville', 'Michigan State', 'Mississippi State', 'Missouri', 'North Carolina', 'Notre Dame', 'Ole Miss', 'Ole Miss', 'Oregon', 'South Carolina', 'Syracuse', 'Temple', 'Tennessee', 'Texas Tech', 'Troy', 'UCF', 'Vanderbilt', 'Virginia', 'Western Kentucky', 'Arkansas']"
