,name,url,position,score,hometown,offers
0,Hunter Dekkers,https://247sports.com/player/hunter-dekkers-46083992,DUAL ,0.9008," West Sioux (Hawarden, IA)    ","['Iowa State', 'Indiana', 'Purdue', 'Central Michigan', 'Kansas State', 'Northern Iowa', 'South Dakota', 'South Dakota State', 'Baylor', 'Iowa', 'Michigan State', 'Ohio State', 'UCLA']"
1,Latrell Bankston,https://247sports.com/player/latrell-bankston-46050485,DT ,0.8789," Hutchinson C.C. (Hutchinson, KS)    ","['Iowa State', 'Boise State', 'Oregon State', 'Arizona', 'Central Michigan', 'Charlotte', 'East Carolina', 'FIU', 'Florida Atlantic', 'Houston', 'Jacksonville State', 'Kansas State', 'Kennesaw State', 'Liberty', 'Maryland', 'Massachusetts', 'New Mexico State', 'SMU', 'South Alabama', 'Southern Miss', 'UTEP']"
2,Aidan Bouman,https://247sports.com/player/aidan-bouman-46052347,PRO ,0.8722," Buffalo Senior (Buffalo, MN)                    ","['Iowa State', 'Minnesota', 'North Dakota State']"
3,Cole Pedersen,https://247sports.com/player/cole-pedersen-46056514,OLB ,0.8706," Central Decatur (Leon, IA)    ",['Iowa State']
4,Daniel Jackson,https://247sports.com/player/daniel-jackson-46048424,WR ,0.8702," Steele (Cibolo, TX)    ","['Iowa State', 'Arizona State', 'USC', 'Arizona', 'Arkansas', 'Baylor', 'Bowling Green', 'Colorado State', 'Illinois', 'Illinois State', 'Incarnate Word', 'Indiana', 'Kansas', 'Kansas State', 'North Carolina', 'North Texas', 'Oklahoma State', 'Rice', 'Rutgers', 'TCU', 'Toledo', 'Utah', 'UTSA']"
5,Hayden Pauls,https://247sports.com/player/hayden-pauls-46055476,OT ,0.8626," Emporia (Emporia, KS)                    ","['Iowa State', 'Iowa', 'Kansas', 'Kansas State', 'Minnesota', 'Nebraska', 'Oklahoma State', 'Purdue']"
6,Johnny Wilson,https://247sports.com/player/johnny-wilson-46055177,SDE ,0.8614," Park Hill (Kansas City, MO)    ","['Iowa State', 'Kansas', 'Missouri', 'Arkansas', 'Iowa', 'Nebraska', 'Kansas State', 'Northern Illinois', 'Northwestern']"
7,Craig McDonald,https://247sports.com/player/craig-mcdonald-46053449,S ,0.8593," Minnehaha Academy (Minneapolis, MN)    ","['Iowa State', 'Dartmouth', 'Iowa', 'Minnesota', 'Purdue', 'Wisconsin']"
8,Xavier Hutchinson,https://247sports.com/player/xavier-hutchinson-46081159,WR ,0.8560," Blinn College (Brenham, TX)                    ","['Iowa State', 'Boise State', 'Nebraska', 'Oklahoma', 'Syracuse', 'USF', 'Arizona State', 'Georgia State', 'Illinois', 'Liberty', 'Louisiana', 'Louisiana-Monroe', 'TCU', 'Texas State', 'Tulsa', 'Utah', 'UTEP']"
9,Willis Singleton,https://247sports.com/player/willis-singleton-46043089,DT ,0.8532," Warren Township (Gurnee, IL)    ","['Iowa State', 'Cincinnati', 'Illinois', 'Louisville', 'Miami (OH)', 'Michigan State', 'Missouri', 'Northern Illinois', 'Ohio', 'Temple', 'Toledo', 'USF', 'Washington State', 'Western Michigan']"
10,Tyler Miller,https://247sports.com/player/tyler-miller-46054364,OT ,0.8525," Greene County (Jefferson, IA)    ","['Iowa State', 'Virginia', 'Cincinnati', 'Minnesota', 'Nebraska', 'Purdue', 'South Dakota State', 'UCF', 'Iowa', 'Kansas State', 'Minnesota']"
11,Brady Petersen,https://247sports.com/player/brady-petersen-46080055,OT ,0.8519," Ankeny Centennial (Ankeny, IA)    ","['Iowa State', 'Kansas State', 'Michigan', 'Michigan State', 'Minnesota', 'Nebraska', 'Virginia Tech', 'Akron', 'Arkansas State', 'Eastern Michigan', 'Illinois State', 'Miami (OH)', 'New Mexico State', 'Northern Illinois', 'Northern Iowa', 'South Dakota', 'South Dakota State', 'Toledo', 'Western Illinois', 'Iowa', 'Iowa State']"
12,T.J. Tampa,https://247sports.com/player/t-j-tampa-46058983,WR ,0.8484," Lakewood (Saint Petersburg, FL)    ","['Iowa State', 'Bryant', 'Cincinnati', 'Coastal Carolina', 'Colorado State', 'Connecticut', 'Georgia State', 'Illinois State', 'Liberty', 'Maryland', 'Northern Illinois', 'Rutgers', 'Southern Miss', 'Syracuse', 'Toledo', 'UCF', 'USF', 'Wake Forest', 'Western Kentucky', 'Minnesota']"
13,Sam Rengert,https://247sports.com/player/sam-rengert-46056136,OT ,0.8477," Fairbanks (Milford Center, OH)    ","['Iowa State', 'West Virginia', 'Akron', 'Buffalo', 'Cincinnati', 'Massachusetts', 'Purdue', 'Rutgers', 'Toledo', 'Virginia']"
14,Mason Chambers,https://247sports.com/player/mason-chambers-46081367,S ,0.8452," Samuel Clemens (Schertz, TX)    ","['Iowa State', 'SMU', 'Abilene Christian', 'Air Force', 'Army', 'Dartmouth', 'Houston', 'Incarnate Word', 'Louisiana', 'Navy', 'New Mexico', 'New Mexico State', 'Princeton', 'Southern University', 'Texas Tech', 'Tulane', 'UTEP', 'UTSA']"
15,Jordyn Morgan,https://247sports.com/player/jordyn-morgan-46079906,S ,0.8438," Cornerstone Christian (San Antonio, TX)    ","['Iowa State', 'Nevada', 'Abilene Christian', 'Air Force', 'Boise State', 'Boston College', 'California', 'Colorado State', 'Houston', 'Liberty', 'Louisiana', 'Missouri', 'North Texas', 'Southern University', 'Texas Southern', 'Tulane', 'UNLV', 'Vanderbilt']"
16,Aidan Bitter,https://247sports.com/player/aidan-bitter-46084564,WR ,0.8424," Steinbrenner (Lutz, FL)    ","['Iowa State', 'Air Force', 'Cornell', 'South Dakota', 'Troy']"
17,Michal Antoine,https://247sports.com/player/michal-antoine-46080112,CB ,0.8410," Cardinal Gibbons (Fort Lauderdale, FL)    ","['Iowa State', 'UCF', 'Boston College', 'Cincinnati', 'Elon', 'Faulkner', 'FIU', 'Georgia Tech', 'Kent State', 'Kentucky', 'Louisville', 'Minnesota', 'Missouri', 'Pittsburgh', 'Rhode Island', 'USF']"
