,name,url,position,score,hometown,offers
0,Brennon Scott,https://247sports.com/player/brennon-scott-46042133,ILB ,0.8791," Bishop Dunne (Dallas, TX)    ","['Kansas', 'USC', 'Arizona', 'Arizona State', 'Arkansas', 'Auburn', 'Baylor', 'Boston College', 'Colorado', 'Florida', 'Georgia', 'Georgia Tech', 'Houston', 'Indiana', 'Iowa', 'Kansas State', 'Kentucky', 'LSU', 'Michigan State', 'Minnesota', 'Mississippi State', 'Missouri', 'Nebraska', 'North Texas', 'Oklahoma', 'Ole Miss', 'Oregon', 'Purdue', 'SMU', 'Syracuse', 'Texas', 'Texas A&M', 'UTSA']"
1,JaCobee Bryant,https://247sports.com/player/jacobee-bryant-46079397,CB ,0.8742," Hillcrest (Evergreen, AL)    ","['Kansas', 'Alabama State', 'Central Michigan', 'Charlotte', 'FIU', 'Florida Atlantic', 'Georgia Southern', 'Georgia Tech', 'Houston', 'Indiana', 'Jacksonville State', 'Kentucky', 'Liberty', 'Louisiana', 'Memphis', 'Mercer', 'Nebraska', 'Ole Miss', 'Purdue', 'Rutgers', 'South Alabama', 'Tennessee', 'Tennessee State', 'Toledo', 'Troy', 'Tulane', 'UAB', 'Virginia', 'Virginia Tech']"
2,Lawrence Arnold,https://247sports.com/player/lawrence-arnold-46050247,WR ,0.8660," DeSoto (DeSoto, TX)    ","['Kansas', 'Boston College', 'California', 'Colorado', 'Harvard', 'Illinois', 'Illinois State', 'Iowa State', 'Kansas State', 'Liberty', 'Louisiana', 'Louisiana Tech', 'Minnesota', 'Missouri', 'Northwestern', 'Oregon', 'Purdue', 'Southern Miss', 'Utah', 'Wisconsin']"
3,Duece Mayberry,https://247sports.com/player/duece-mayberry-46053516,CB ,0.8646," Owasso (Owasso, OK)    ","['Kansas', 'Northern Iowa', 'Illinois State', 'New Mexico State', 'South Dakota State', 'Tulane', 'Arkansas', 'Drake', 'Iowa State', 'Kansas State', 'Oklahoma', 'Wyoming']"
4,Krishawn Brown,https://247sports.com/player/krishawn-brown-46058620,OLB ,0.8626," Booker T. Washington (Tulsa, OK)    ","['Kansas', 'Howard', 'Memphis', 'North Texas', 'Oklahoma State', 'Texas State', 'SMU']"
5,Chris Jones,https://247sports.com/player/chris-jones-46080333,WDE ,0.8572," Coconut Creek (Pompano Beach, FL)    ","['Kansas', 'FIU', 'Florida Atlantic', 'Florida State', 'Georgia State', 'Indiana', 'Liberty', 'Maryland', 'Minnesota', 'NC State', 'Nebraska', 'Penn State', 'Pittsburgh', 'Southern Miss', 'UCF', 'USF', 'Wake Forest', 'West Virginia']"
6,Tristan Golightly,https://247sports.com/player/tristan-golightly-46055045,WR ,0.8558," Poteet (Mesquite, TX)    ","['Kansas', 'Georgia Tech', 'Houston', 'Iowa State', 'Liberty', 'Louisiana', 'Louisiana Tech', 'Louisville', 'LSU', 'Nebraska', 'Nevada', 'Purdue', 'Southern Miss', 'UCF', 'Utah', 'Utah State', 'UTSA', 'Wyoming', 'Arkansas', 'SMU']"
7,Taiwan Berryhill,https://247sports.com/player/taiwan-berryhill-46055130,OLB ,0.8552," St. Augustine (New Orleans, LA)    ","['Kansas', 'Arkansas', 'Colorado State', 'Eastern Illinois', 'Houston Baptist', 'Indiana', 'Louisiana Tech', 'Louisiana-Monroe', 'McNeese State', 'Memphis', 'Nicholls State', 'North Texas', 'South Alabama', 'Southern Miss', 'Tennessee', 'Tulane', 'UNLV', 'UTSA', 'Virginia']"
8,Kenean Caldwell,https://247sports.com/player/kenean-caldwell-46051167,DT ,0.8540," Oak Grove (Oak Grove, LA)    ","['Kansas', 'Oregon', 'Colorado', 'Louisiana', 'Louisiana-Monroe', 'Nicholls State', 'Ole Miss', 'SMU', 'Southern Miss', 'TCU', 'Texas A&M', 'Troy', 'LSU', 'Mississippi State', 'Texas']"
9,Will Huggins,https://247sports.com/player/will-huggins-46081205,TE ,0.8519," Shawnee Mission South (Overland Park, KS)    ","['Kansas', 'Arkansas', 'Iowa State', 'Kansas State', 'South Dakota State']"
