,name,url,position,score,hometown,offers
0,Jeremiah Harris,https://247sports.com/player/jeremiah-harris-46052191,ILB ,0.8688," Shadow Creek (Pearland, TX)    ","['Kansas State', 'Oklahoma State', 'Air Force', 'Arkansas', 'Boise State', 'Colorado', 'Colorado State', 'Cornell', 'FIU', 'Fresno State', 'Houston Baptist', 'Illinois', 'Mercer', 'Minnesota', 'Missouri', 'Nebraska', 'North Texas', 'Princeton', 'Southern University', 'Texas Southern', 'Tulane', 'Tulsa', 'UNLV', 'Utah State']"
1,Nate Matlack,https://247sports.com/player/nate-matlack-46057473,WDE ,0.8668," Olathe East (Olathe, KS)    ","['Kansas State', 'Air Force', 'Boise State', 'Illinois State', 'Kansas', 'Northern Illinois', 'Syracuse', 'TCU', 'Texas Tech', 'Iowa', 'Iowa State', 'Kentucky', 'Missouri', 'Nebraska', 'Oklahoma State', 'Penn State', 'Rutgers', 'Southern Illinois', 'UCLA', 'Wisconsin']"
2,Talor Warner,https://247sports.com/player/talor-warner-46083984,OG ,0.8623," Gardner Edgerton (Gardner, KS)    ","['Kansas State', 'Air Force', 'Akron', 'Ball State', 'Columbia', 'Eastern Illinois', 'Illinois State', 'North Dakota State', 'South Dakota State', 'Western Illinois']"
3,Will Swanson,https://247sports.com/player/will-swanson-46085221,TE ,0.8593," Papillion-La Vista South (Papillion, NE)    ","['Kansas State', 'Kent State', 'Missouri State', 'South Dakota State', 'Wyoming', 'Iowa', 'Iowa State', 'Minnesota', 'Nebraska', 'Northern Illinois']"
4,Robert Hentz,https://247sports.com/player/robert-hentz-46040158,DT ,0.8574," Northwest Mississippi C.C. (Senatobia, MS)    ","['Kansas State', 'Colorado State', 'Louisiana-Monroe', 'Memphis', 'North Texas', 'South Alabama', 'Southern Miss', 'Troy']"
5,Will Howard,https://247sports.com/player/will-howard-46056477,PRO ,0.8552," Downingtown West (Downingtown, PA)    ","['Kansas State', 'Bowling Green', 'Cincinnati', 'Harvard', 'Kansas', 'Maryland', 'Minnesota', 'Morgan State', 'Rutgers', 'Temple', 'Toledo', 'Yale', 'Boston College', 'Duke', 'Kent State', 'North Carolina', 'Penn State', 'Syracuse']"
6,Carver Willis,https://247sports.com/player/carver-willis-46085599,OT ,0.8539," Durango (Durango, CO)  ","['Kansas State', 'Colorado State', 'New Mexico State', 'Northern Colorado', 'Wyoming', 'Baylor', 'Indiana', 'Texas Tech']"
7,Tajiri Smith,https://247sports.com/player/tajiri-smith-46047495,CB ,0.8484," McEachern (Powder Springs, GA)    ","['Kansas State', 'Memphis', 'Boston College', 'Coastal Carolina', 'Kentucky', 'Louisville', 'South Alabama', 'Tennessee State', 'USF', 'Western Kentucky']"
8,Joseph Wilson,https://247sports.com/player/joseph-wilson-46039609,CB ,0.8464," North Shore (Houston, TX)    ","['Kansas State', 'Arizona', 'Arkansas State', 'Florida Atlantic', 'Houston', 'Kansas', 'Louisiana-Monroe', 'Massachusetts', 'Oregon State', 'Prairie View A&M', 'Tulane', 'Arkansas', 'Baylor', 'Florida State', 'Georgia', 'Mississippi State']"
9,Deuce Vaughn,https://247sports.com/player/deuce-vaughn-46079605,APB ,0.8464," Cedar Ridge (Round Rock, TX)    ","['Kansas State', 'Air Force', 'Arkansas', 'Army', 'Missouri', 'North Texas', 'USF', 'Baylor', 'Kansas', 'Minnesota', 'North Texas', 'SMU', 'TCU', 'Virginia Tech']"
10,Cody Stufflebean,https://247sports.com/player/cody-stufflebean-46084289,ATH ,0.8464," Mcpherson (Mcpherson, KS)    ","['Kansas State', 'Akron', 'Colorado', 'Kent State', 'Ohio', 'South Dakota', 'Toledo', 'Virginia Tech', 'Wisconsin']"
11,Makholven Sonn,https://247sports.com/player/makholven-sonn-46051247,WR ,0.8431," Westgate (New Iberia, LA)    ","['Kansas State', 'Arkansas', 'Houston', 'Kansas', 'South Alabama', 'Southeastern Louisiana', 'Southern University', 'West Virginia', 'Miami', 'Texas', 'Texas Tech']"
12,Malachi Mitchell,https://247sports.com/player/malachi-mitchell-46081298,S ,0.8431," Mansfield Legacy (Mansfield, TX)    ","['Kansas State', 'Air Force', 'Arkansas State', 'Colorado State', 'Kansas', 'Louisiana-Monroe']"
13,DeMarrquese Hayes,https://247sports.com/player/demarrquese-hayes-46081978,OLB ,0.8431," La Vega (Waco, TX)      ","['Kansas State', 'Houston', 'New Mexico', 'Texas State', 'Tulsa', 'UTEP', 'Arkansas', 'Baylor', 'Boise State', 'Houston', 'Oklahoma State', 'SMU', 'TCU']"
14,Ronald Triplette,https://247sports.com/player/ronald-triplette-46058317,SDE ,0.8410," Shadow Creek (Pearland, TX)    ","['Kansas State', 'Air Force', 'Charlotte', 'Colorado State', 'FIU', 'Incarnate Word', 'Louisiana-Monroe', 'Southern Miss', 'Tulsa', 'Utah State', 'Colorado', 'Houston', 'Texas A&M']"
15,Sam Shields,https://247sports.com/player/sam-shields-46081717,OG ,0.8410," Manhattan (Manhattan, KS)    ","['Kansas State', 'Kansas', 'North Dakota State', 'South Dakota', 'Iowa', 'Missouri', 'Nebraska', 'North Dakota State', 'Oklahoma State', 'South Dakota State', 'Wyoming']"
16,Dawson Delforge,https://247sports.com/player/dawson-delforge-46094812,OG ,0.8325," Butler C.C. (El Dorado, KS)    ","['Kansas State', 'McNeese State', 'USF', 'UTSA', 'Western Kentucky', 'Nebraska']"
17,Keyon Mozee,https://247sports.com/player/keyon-mozee-46081203,ATH ,0.8323," Lee's Summit North (Lees Summit, MO)    ","['Kansas State', 'Miami (OH)', 'North Dakota', 'Kansas']"
18,Hadley Panzer,https://247sports.com/player/hadley-panzer-46081753,OC ,0.8315," Lakin (Lakin, KS)    ","['Kansas State', 'Air Force', 'Akron', 'Colorado State', 'Iowa State', 'North Dakota State', 'Kansas']"
19,Christian Moore,https://247sports.com/player/christian-moore-46081506,TE ,0.8193," Huntington Beach (Huntington Beach, CA)    ","['Kansas State', 'Boise State', 'Nevada', 'Oregon State']"
20,Jaelon Travis,https://247sports.com/player/jaelon-travis-46085643,WR ,0.8118," Mansfield Summit (Arlington, TX)    ","['Kansas State', 'Texas Southern', 'Abilene Christian', 'Colorado State', 'Northwestern State', 'Texas State']"
