,name,url,position,score,hometown,offers
0,Justin Rogers,https://247sports.com/player/justin-rogers-91684,DT ,0.9780," Oak Park (Oak Park, MI)                  ","['Kentucky', 'Michigan State', 'Alabama', 'Georgia', 'Tennessee', 'Arizona', 'Auburn', 'Boston College', 'Bowling Green', 'Central Michigan', 'Cincinnati', 'Clemson', 'Colorado', 'Eastern Michigan', 'Florida', 'Florida State', 'Georgia Tech', 'Indiana', 'Iowa', 'Iowa State', 'Kansas', 'Kansas State', 'Louisville', 'LSU', 'Maryland', 'Miami', 'Miami (OH)', 'Michigan', 'Minnesota', 'Missouri', 'Nebraska', 'Ohio State', 'Oklahoma', 'Ole Miss', 'Oregon', 'Penn State', 'Pittsburgh', 'Purdue', 'Rutgers', 'Syracuse', 'Temple', 'Texas', 'Texas A&M', 'Toledo', 'USC', 'West Virginia', 'Western Michigan']"
1,Samuel Anaele,https://247sports.com/player/samuel-anaele-46042790,SDE ,0.9176," McDougal Technical Institute (Deerfield Beach, FL)                    ","['Kentucky', 'USF', 'Miami', 'Colorado', 'Florida', 'Florida Atlantic', 'Georgia', 'Louisville', 'Michigan', 'NC State', 'Nebraska', 'Oregon', 'Tennessee', 'Texas A&M', 'Florida State', 'Georgia Tech']"
2,John Young,https://247sports.com/player/john-young-46047442,OT ,0.8904," Christian Academy Of Louisville (Louisville, KY)                    ","['Kentucky', 'Auburn', 'Duke', 'Florida State', 'Georgia', 'Georgia Tech', 'Indiana', 'Iowa State', 'Louisville', 'Michigan', 'Minnesota', 'Missouri', 'Northwestern', 'Ohio State', 'Ole Miss', 'Oregon', 'Penn State', 'Purdue', 'Syracuse', 'Tennessee', 'Vanderbilt', 'Virginia', 'West Virginia']"
3,Jutahn McClain,https://247sports.com/player/jutahn-mcclain-46052145,APB ,0.8884," Fairfield (Fairfield, OH)    ","['Kentucky', 'Cincinnati', 'Duke', 'Louisville', 'Maryland', 'Michigan', 'Minnesota', 'Missouri', 'Notre Dame', 'Ohio State', 'Penn State', 'Pittsburgh', 'Purdue', 'Rutgers', 'West Virginia']"
4,Deondre Buford,https://247sports.com/player/deondre-buford-46051995,OT ,0.8863," Martin Luther King (Detroit, MI)                  ","['Kentucky', 'Purdue', 'Akron', 'Auburn', 'Buffalo', 'Cincinnati', 'Eastern Michigan', 'Indiana', 'Iowa', 'Iowa State', 'Kansas', 'Kent State', 'Louisville', 'LSU', 'Maryland', 'Miami', 'Michigan State', 'Minnesota', 'Penn State', 'Pittsburgh', 'Syracuse', 'Tennessee', 'West Virginia', 'Western Michigan', 'Youngstown State']"
5,Tre'vonn Rybka,https://247sports.com/player/trevonn-rybka-46080787,DT ,0.8850," Dickson County (Dickson, TN)                  ","['Kentucky', 'Oklahoma', 'Cincinnati', 'Oregon', 'Alabama', 'Arizona', 'Arkansas', 'Boston College', 'Charlotte', 'Georgia', 'Georgia Tech', 'LSU', 'Memphis', 'Mississippi State', 'Nebraska', 'North Carolina', 'Tennessee', 'Texas A&M', 'Virginia', 'Virginia Tech', 'West Virginia', 'Ole Miss']"
6,Beau Allen,https://247sports.com/player/beau-allen-46039461,PRO ,0.8791," Lexington Catholic (Lexington, KY)                    ","['Kentucky', 'Washington State', 'Bowling Green', 'Cincinnati', 'Duke', 'Eastern Kentucky', 'Georgia', 'Maryland', 'Michigan', 'West Virginia', 'Wisconsin']"
7,Kalil Branham,https://247sports.com/player/kalil-branham-46040367,WR ,0.8789," Northland (Columbus, OH)                    ","['Kentucky', 'Michigan', 'Akron', 'Arizona State', 'Baylor', 'Boston College', 'Cincinnati', 'Eastern Kentucky', 'Eastern Michigan', 'Florida State', 'Georgia Tech', 'Indiana', 'Kansas', 'Kent State', 'Louisville', 'Marshall', 'Maryland', 'Michigan State', 'Morgan State', 'Nebraska', 'Ohio State', 'Pittsburgh', 'Rutgers', 'Tennessee', 'Toledo', 'USC', 'Virginia Tech', 'Wake Forest', 'Youngstown State', 'Bowling Green', 'Ohio']"
8,Torrance Davis,https://247sports.com/player/torrance-davis-46081317,RB ,0.8788," Garfield Heights (Cleveland, OH)                    ","['Kentucky', 'Ball State', 'Bowling Green', 'Cincinnati', 'Indiana', 'Iowa State', 'Kansas', 'Kent State', 'Maryland', 'Michigan State', 'Penn State', 'Pittsburgh', 'Purdue', 'Rutgers', 'Tennessee', 'Toledo', 'Virginia']"
9,Earnest Sanders,https://247sports.com/player/earnest-sanders-46057979,WR ,0.8756," Beecher (Mount Morris, MI)                  ","['Kentucky', 'Ball State', 'Bowling Green', 'Buffalo', 'Central Michigan', 'Cincinnati', 'Indiana', 'Iowa State', 'Michigan State', 'Minnesota', 'Penn State', 'Purdue', 'Toledo', 'Washington State', 'West Virginia', 'Youngstown State']"
10,Andru Phillips,https://247sports.com/player/andru-phillips-46056880,CB ,0.8688," Mauldin (Mauldin, SC)                    ","['Kentucky', 'Appalachian State', 'Charlotte', 'Coastal Carolina', 'Colorado', 'East Carolina', 'Georgia Southern', 'Kansas', 'Kent State', 'Liberty', 'Louisville', 'NC State', 'Syracuse', 'Tennessee', 'Virginia Tech', 'Wake Forest', 'West Virginia', 'Georgia Tech', 'Michigan State', 'North Carolina', 'South Carolina', 'Virginia']"
11,Izayah Cummings,https://247sports.com/player/izayah-cummings-46049679,WR ,0.8681," Louisville Male (Louisville, KY)                  ","['Kentucky', 'Cincinnati', 'Duke', 'Indiana', 'Louisville', 'Missouri', 'Murray State', 'Purdue', 'Vanderbilt', 'Virginia', 'Wake Forest', 'West Virginia', 'Western Kentucky', 'Pittsburgh', 'Wisconsin']"
12,Rickey Hyatt,https://247sports.com/player/rickey-hyatt-46080419,S ,0.8647," Westerville Central (Westerville, OH)    ","['Kentucky', 'Michigan State', 'Akron', 'Ball State', 'Bowling Green', 'Cincinnati', 'Eastern Michigan', 'Georgia Tech', 'Indiana', 'Iowa State', 'Kent State', 'Liberty', 'Louisville', 'Miami (OH)', 'North Carolina', 'Notre Dame', 'Ohio State', 'Penn State', 'Pittsburgh', 'Purdue', 'Rutgers', 'Toledo', 'West Virginia']"
13,Joshua Jones,https://247sports.com/player/joshua-jones-46057708,OT ,0.8559," Central (Phenix City, AL)                  ","['Kentucky', 'Alabama A&M', 'Alabama State', 'Arkansas', 'Florida State', 'Illinois', 'LSU', 'Mississippi State', 'NC State', 'Ole Miss', 'Tennessee', 'Troy', 'Tulane', 'UAB']"
14,D'Eryk Jackson,https://247sports.com/player/deryk-jackson-46080695,ILB ,0.8519," West Laurens (Dublin, GA)                    ","['Kentucky', 'Mississippi State', 'Ole Miss', 'Purdue']"
15,Carrington Valentine,https://247sports.com/player/carrington-valentine-46080434,CB ,0.8518," Archbishop Moeller (Cincinnati, OH)                  ","['Kentucky', 'Michigan State', 'Pittsburgh', 'Boston College', 'Cincinnati', 'Duke', 'Indiana', 'Kent State', 'Louisville', 'Miami (OH)', 'Minnesota', 'Purdue', 'Rutgers', 'Toledo', 'Wake Forest', 'West Virginia', 'Western Michigan', 'Wisconsin']"
