,name,url,position,score,hometown,offers
0,Ruben Hyppolite II,https://247sports.com/player/ruben-hyppolite-ii-46051515,OLB ,0.9065," McArthur (Hollywood, FL)                    ","['Maryland', 'Alabama', 'Miami', 'Auburn', 'Baylor', 'Boston College', 'FIU', 'Florida', 'Florida Atlantic', 'Florida State', 'Georgia Tech', 'Kentucky', 'Louisville', 'LSU', 'North Carolina', 'Oregon', 'Penn State', 'Pittsburgh', 'Rutgers', 'Southern Miss', 'Syracuse', 'UAB', 'Washington State', 'West Virginia', 'Western Kentucky']"
1,Peny Boone,https://247sports.com/player/peny-boone-46052941,RB ,0.8883," Martin Luther King (Detroit, MI)    ","['Maryland', 'Akron', 'Boston College', 'Bowling Green', 'Central Michigan', 'Cincinnati', 'Florida Atlantic', 'Georgia Tech', 'Indiana', 'Iowa', 'Iowa State', 'Kansas', 'Kentucky', 'Michigan', 'Michigan State', 'Morgan State', 'Nebraska', 'Norfolk State', 'Purdue', 'Syracuse', 'Tennessee', 'Toledo', 'West Virginia', 'Western Michigan']"
2,Ebony Jackson,https://247sports.com/player/ebony-jackson-46048345,RB ,0.8817," Cherokee (Canton, GA)                    ","['Maryland', 'Tennessee', 'Alabama', 'Ole Miss', 'South Carolina', 'West Virginia', 'Georgia Tech']"
3,Corey Dyches,https://247sports.com/player/corey-dyches-46049923,WR ,0.8713," Potomac (Oxon Hill, MD)    ","['Maryland', 'Boston College', 'East Carolina', 'Massachusetts', 'North Carolina', 'Pittsburgh', 'Rutgers', 'Syracuse', 'Temple', 'Toledo', 'Alabama', 'Duke', 'Kentucky', 'Ohio State', 'Penn State', 'Virginia Tech', 'Wake Forest']"
4,Deajaun McDougle,https://247sports.com/player/deajaun-mcdougle-45572389,WR ,0.8689," Deerfield Beach (Deerfield Beach, FL)                    ","['Maryland', 'South Carolina', 'Alabama', 'Arkansas', 'Florida', 'Florida Atlantic', 'Florida State', 'Georgia', 'Illinois', 'Iowa', 'Kentucky', 'Louisville', 'LSU', 'Miami', 'Michigan', 'Missouri', 'NC State', 'North Carolina', 'Ohio State', 'Oklahoma', 'Ole Miss', 'Oregon', 'Penn State', 'Pittsburgh', 'Purdue', 'Syracuse', 'Temple', 'Tennessee', 'West Virginia']"
5,Tarheeb Still,https://247sports.com/player/tarheeb-still-46054767,CB ,0.8646," Timber Creek (Sicklerville, NJ)  ","['Maryland', 'UCF', 'West Virginia', 'Baylor', 'Boston College', 'Cincinnati', 'Colorado State', 'Duke', 'East Carolina', 'Kent State', 'Massachusetts', 'Minnesota', 'NC State', 'North Carolina', 'Old Dominion', 'Pittsburgh', 'Rutgers', 'Syracuse', 'Temple', 'Toledo', 'Virginia Tech', 'Wake Forest', 'Western Michigan']"
6,Beau Brade,https://247sports.com/player/beau-brade-46080073,S ,0.8594," River Hill (Clarksville, MD)    ","['Maryland', 'Air Force', 'Army', 'Michigan', 'Pittsburgh', 'Rutgers', 'Syracuse', 'Virginia', 'Virginia Tech', 'Wake Forest', 'West Virginia']"
7,Riyad Wilmot,https://247sports.com/player/riyad-wilmot-46079849,SDE ,0.8534," St. Thomas Aquinas (Fort Lauderdale, FL)    ","['Maryland', 'Boston College', 'Kansas', 'Kentucky', 'Missouri', 'Pittsburgh', 'Purdue', 'Southern Miss', 'Syracuse', 'Texas', 'Vanderbilt', 'Wake Forest']"
8,Jerzhan Newton,https://247sports.com/player/jerzhan-newton-46046954,SDE ,0.8519," Clearwater Central Catholic (Clearwater, FL)    ","['Maryland', 'Illinois', 'Georgia Tech', 'Boston College', 'Cincinnati', 'Colorado State', 'Florida', 'Florida State', 'Indiana', 'Iowa', 'Kansas State', 'Kentucky', 'Miami', 'Middle Tennessee State', 'North Carolina', 'Rutgers', 'Southern Miss', 'Syracuse', 'Toledo', 'UCF', 'USF', 'Virginia Tech', 'West Virginia']"
9,Ami Finau,https://247sports.com/player/ami-finau-46095071,DT ,0.8495," Independence C.C. (Independence, KS)    ","['Maryland', 'Marshall', 'Arizona', 'Illinois', 'Morgan State', 'San Jose State', 'Southeast Missouri State', 'Southern Illinois', 'Southern Miss', 'Utah State']"
10,Mosiah Nasili-Kite,https://247sports.com/player/mosiah-nasili-kite-46047016,SDE ,0.8485," Independence C.C. (Independence, KS)    ","['Maryland', 'Arizona', 'Charlotte', 'Hawaii', 'Marshall', 'Oregon State', 'Utah State']"
11,Santana Saunders,https://247sports.com/player/santana-saunders-46081134,OT ,0.8469," Charles Herbert Flowers (Upper Marlboro, MD)    ","['Maryland', 'Buffalo', 'East Carolina', 'Kent State', 'Morgan State', 'Ohio', 'Towson']"
12,Khristopher Love,https://247sports.com/player/khristopher-love-46079323,OG ,0.8452," American Heritage (Fort Lauderdale, FL)    ","['Maryland', 'USF', 'Boston College', 'Charlotte', 'Kentucky', 'NC State', 'Pittsburgh', 'Rutgers', 'Southern Miss', 'Syracuse', 'Utah', 'Vanderbilt', 'Wake Forest', 'West Virginia', 'Western Kentucky', 'Miami']"
13,Delmar Glaze,https://247sports.com/player/delmar-glaze-46094079,OT ,0.8438," West Mecklenburg (Charlotte, NC)    ","['Maryland', 'Alabama A&M', 'Appalachian State', 'Campbell', 'Connecticut', 'East Tennessee State', 'FIU', 'Jacksonville State', 'Massachusetts', 'Morgan State', 'Notre Dame College', 'South Carolina State', 'Louisville']"
14,Devyn King,https://247sports.com/player/devyn-king-46042489,CB ,0.8431," Junipero Serra (Gardena, CA)                    ","['Maryland', 'Boston College', 'Fresno State', 'Kansas', 'Nevada', 'Ole Miss', 'Oregon', 'Oregon State', 'San Jose State', 'UNLV', 'Utah', 'Utah State', 'Washington State']"
15,Nick DeGennaro,https://247sports.com/player/nick-degennaro-46085549,WR ,0.8389," Hun School  (Princeton, NJ)    ","['Maryland', 'Bryant', 'Bucknell', 'Elon', 'Fordham', 'Holy Cross', 'Howard', 'Lafayette', 'Massachusetts', 'Monmouth', 'New Hampshire', 'Northern Illinois', 'Richmond', 'Stony Brook', 'Villanova', 'Buffalo', 'Connecticut', 'Penn State', 'Rutgers', 'Syracuse', 'Virginia']"
