,name,url,position,score,hometown,offers
0,Don Chaney Jr.,https://247sports.com/player/don-chaney-jr-92946,RB ,0.9818," Belen Jesuit Prep (Miami, FL)                    ","['Miami', 'Boston College', 'FIU', 'Florida', 'Florida Atlantic', 'Florida State', 'Georgia', 'Kentucky', 'LSU', 'Mississippi State', 'Notre Dame', 'Oklahoma', 'Ole Miss', 'Oregon', 'South Carolina', 'Syracuse', 'Texas A&M', 'UCF', 'USF', 'Arkansas']"
1,Chantz Williams,https://247sports.com/player/chantz-williams-46038938,WDE ,0.9650," Oakleaf (Orange Park, FL)                    ","['Miami', 'Alabama', 'Clemson', 'Florida', 'Florida State', 'Georgia', 'Georgia Tech', 'Louisville', 'LSU', 'Michigan', 'Mississippi State', 'Notre Dame', 'Oklahoma', 'Ole Miss', 'Oregon', 'South Alabama', 'South Carolina', 'Temple', 'Tennessee', 'Texas', 'Texas A&M', 'USF', 'Virginia Tech']"
2,Jaylan Knighton,https://247sports.com/player/jaylan-knighton-46046875,RB ,0.9524," Deerfield Beach (Deerfield Beach, FL)                    ","['Miami', 'Ohio State', 'Florida State', 'Oklahoma', 'Alabama', 'Auburn', 'Bowling Green', 'Clemson', 'Florida', 'Florida Atlantic', 'Georgia', 'Illinois', 'Iowa', 'Kansas State', 'Kentucky', 'Louisville', 'LSU', 'Michigan', 'Missouri', 'NC State', 'Nebraska', 'Ole Miss', 'Oregon', 'Penn State', 'Pittsburgh', 'Purdue', 'South Carolina', 'Southern Miss', 'Syracuse', 'Temple', 'Tennessee', 'Arkansas']"
3,Jalen Rivers,https://247sports.com/player/jalen-rivers-46039457,OT ,0.9350," Oakleaf (Orange Park, FL)                    ","['Miami', 'Alabama', 'Auburn', 'Clemson', 'Florida', 'Florida State', 'Georgia', 'Georgia Tech', 'Louisville', 'Memphis', 'Michigan', 'Mississippi State', 'Ole Miss', 'Penn State', 'South Alabama', 'South Carolina', 'Temple', 'Tennessee', 'Texas', 'USF', 'Arkansas']"
4,Michael Redding III,https://247sports.com/player/michael-redding-iii-46055158,WR ,0.9293," IMG Academy (Bradenton, FL)                    ","['Miami', 'Alabama', 'Arkansas', 'Auburn', 'Florida', 'Florida State', 'Georgia', 'Georgia Tech', 'Michigan', 'Minnesota', 'Mississippi State', 'Missouri', 'Nebraska', 'Notre Dame', 'Oregon', 'Penn State', 'Pittsburgh', 'Purdue', 'South Carolina', 'Southern Miss', 'Syracuse', 'Tennessee', 'Troy', 'UAB', 'Vanderbilt', 'Washington State', 'Florida', 'Kentucky']"
5,Tyler Van Dyke,https://247sports.com/player/tyler-van-dyke-88973,PRO ,0.9185," Suffield Academy (Suffield, CT)                    ","['Miami', 'Boston College', 'California', 'Colorado', 'Duke', 'Georgia Tech', 'Kentucky', 'Louisville', 'Massachusetts', 'Michigan', 'Michigan State', 'Minnesota', 'NC State', 'Oklahoma State', 'Pittsburgh', 'Purdue', 'Rutgers', 'Syracuse', 'Vanderbilt', 'Wisconsin', 'East Carolina', 'Maine', 'Michigan State', 'NC State', 'North Carolina', 'Ohio State', 'Penn State', 'Rutgers', 'South Carolina', 'Tennessee', 'UCLA', 'Virginia', 'West Virginia']"
6,Jalen Harrell,https://247sports.com/player/jalen-harrell-46059050,S ,0.9136," Champagnat Catholic - Hialeah (Hialeah, FL)                  ","['Miami', 'Georgia Tech', 'Florida State', 'Arkansas', 'Cincinnati', 'Clemson', 'FIU', 'Kansas', 'Kentucky', 'Louisville', 'Maryland', 'Nebraska', 'Penn State', 'Pittsburgh', 'Tennessee', 'UCF', 'USF']"
7,Elijah Roberts,https://247sports.com/player/elijah-roberts-46051699,SDE ,0.8958," Columbus (Miami, FL)                  ","['Miami', 'South Carolina', 'Florida', 'Florida State', 'Georgia Tech', 'Indiana', 'Kentucky', 'Michigan', 'Nebraska', 'North Carolina', 'Oregon', 'Penn State', 'Pittsburgh', 'Syracuse', 'Tennessee', 'UCF', 'Vanderbilt', 'West Virginia']"
8,Willie Moise,https://247sports.com/player/willie-moise-46039152,DT ,0.8954," Chaminade-Madonna Prep (Hollywood, FL)    ","['Miami', 'Auburn', 'Bowling Green', 'Florida Atlantic', 'Florida State', 'Kentucky', 'LSU', 'Marshall', 'Maryland', 'Missouri', 'Oklahoma', 'Syracuse', 'TCU', 'Temple', 'Tennessee', 'USF']"
9,Dazalin Worsham,https://247sports.com/player/dazalin-worsham-46042539,WR ,0.8954," Hewitt-Trussville (Trussville, AL)                    ","['Miami', 'Alabama', 'Arkansas', 'Auburn', 'Clemson', 'Duke', 'Florida', 'Florida State', 'Georgia', 'Georgia Tech', 'Jackson State', 'Kentucky', 'Louisville', 'LSU', 'Maryland', 'Michigan', 'Mississippi State', 'NC State', 'Ole Miss', 'Oregon', 'South Carolina', 'Southern Miss', 'Tennessee', 'Texas A&M', 'Troy', 'UAB', 'Ohio State']"
10,Keshawn Washington,https://247sports.com/player/keshawn-washington-46037037,S ,0.8903," South Dade (Homestead, FL)                    ","['Miami', 'Florida State', 'Auburn', 'Florida A&M', 'Georgia', 'Maryland', 'Nebraska', 'Oregon', 'Penn State', 'Rutgers', 'Southern Miss', 'Syracuse', 'Tennessee', 'UAB', 'UCF', 'Arkansas']"
11,Romello Height,https://247sports.com/player/romello-height-46080260,OLB ,0.8884," Dublin (Dublin, GA)                    ","['Miami', 'Kentucky', 'Arizona State', 'Auburn', 'Cincinnati', 'Coastal Carolina', 'East Carolina', 'Florida', 'Georgia Southern', 'Georgia State', 'Georgia Tech', 'Kansas', 'Kent State', 'Liberty', 'Louisville', 'Missouri', 'Ole Miss', 'Rutgers', 'South Carolina', 'Syracuse', 'Tennessee', 'Tulane', 'UCF', 'USC', 'USF', 'Vanderbilt', 'Virginia', 'Western Kentucky']"
12,Dominic Mammarelli,https://247sports.com/player/dominic-mammarelli-46051465,TE ,0.8858," Naples (Naples, FL)                 ","['Miami', 'Arkansas', 'Central Michigan', 'Cincinnati', 'FIU', 'LSU', 'Michigan', 'Purdue', 'South Carolina', 'USF', 'Georgia']"
13,Tirek Austin-Cave,https://247sports.com/player/tirek-austin-cave-46054731,ILB ,0.8709," Camden (Camden, NJ)                    ","['Miami', 'Minnesota', 'West Virginia', 'Baylor', 'Howard', 'Kansas State', 'Kentucky', 'Liberty', 'Maryland', 'Massachusetts', 'Nebraska', 'Oklahoma State', 'Old Dominion', 'Pittsburgh', 'Rutgers', 'Syracuse', 'Temple', 'Texas A&M', 'UCF', 'Wake Forest']"
14,Quentin Williams,https://247sports.com/player/quentin-williams-46057246,WDE ,0.8668," Mallard Creek (Charlotte, NC)                ","['Miami', 'West Virginia', 'Akron', 'Charlotte', 'Coastal Carolina', 'East Carolina', 'Liberty', 'Louisville', 'North Carolina', 'Purdue', 'Syracuse', 'Virginia', 'Virginia Tech', 'Western Kentucky', 'Florida', 'Gardner-Webb', 'NC State', 'Wake Forest']"
15,Marcus Clarke,https://247sports.com/player/marcus-clarke-46058596,CB ,0.8619," Winter Park (Winter Park, FL)                  ","['Miami', 'Bowling Green', 'Cincinnati', 'Colorado State', 'Connecticut', 'FIU', 'Florida Atlantic', 'Florida State', 'Georgia', 'Illinois', 'Indiana', 'Iowa State', 'Kansas State', 'Kent State', 'Liberty', 'Louisville', 'Marshall', 'Minnesota', 'NC State', 'Ole Miss', 'Pittsburgh', 'Tennessee', 'Troy', 'UCF', 'USF', 'UT Martin', 'Wake Forest', 'West Virginia']"
16,Brian Balom,https://247sports.com/player/brian-balom-46081747,S ,0.8606," Miramar (Hollywood, FL)                  ","['Miami', 'Louisville', 'Air Force', 'Alabama A&M', 'Alabama State', 'Bryant', 'Buffalo', 'FIU', 'Florida Atlantic', 'Georgia State', 'Indiana', 'Kent State', 'Middle Tennessee State', 'Northern Illinois', 'South Dakota', 'Toledo', 'Utah', 'West Virginia']"
17,Xavier Restrepo,https://247sports.com/player/xavier-restrepo-46050952,ATH ,0.8599," Deerfield Beach (Deerfield Beach, FL)                    ","['Miami', 'Air Force', 'Boston College', 'Brown', 'Cornell', 'Dartmouth', 'Georgia', 'Harvard', 'Kentucky', 'Louisville', 'Michigan', 'Mississippi State', 'Missouri', 'Northern Illinois', 'Pittsburgh', 'Princeton', 'Purdue', 'Rutgers', 'Samford', 'Southern Miss', 'Texas', 'Vanderbilt', 'William & Mary', 'Oregon']"
18,Corey Flagg,https://247sports.com/player/corey-flagg-46052137,ILB ,0.8574," North Shore (Houston, TX)                    ","['Miami', 'Oklahoma State', 'Purdue', 'Boston College', 'Colorado State', 'Liberty', 'Louisiana Tech', 'Memphis', 'North Texas', 'SMU', 'Southern Miss', 'Texas State', 'Texas Tech', 'Tulane', 'UTSA', 'Virginia Tech']"
19,Chris Washington,https://247sports.com/player/chris-washington-46080943,OT ,0.8478," Overton (Nashville, TN)                    ","['Miami', 'Ole Miss', 'Ball State', 'Cincinnati', 'East Tennessee State', 'Illinois State', 'Indiana', 'Marshall', 'Memphis', 'Miami (OH)', 'Middle Tennessee State', 'Tulane', 'Wake Forest', 'Western Kentucky']"
