,name,url,position,score,hometown,offers
0,Jo'Quavious Marks,https://247sports.com/player/joquavious-marks-46041108,RB ,0.9362," Carver (Atlanta, GA)    ","['Mississippi State', 'Wisconsin', 'Louisville', 'Alabama', 'Arkansas', 'Auburn', 'Boston College', 'Florida', 'Florida State', 'Georgia Tech', 'Kansas State', 'Kentucky', 'Miami', 'Michigan', 'Ohio State', 'Ole Miss', 'Oregon', 'South Carolina', 'Syracuse', 'Tennessee', 'Texas', 'Texas A&M', 'Virginia', 'West Virginia']"
1,Emmanuel Forbes,https://247sports.com/player/emmanuel-forbes-46080858,CB ,0.9280," Grenada (Grenada, MS)    ","['Mississippi State', 'Ole Miss', 'Memphis', 'Nebraska', 'Tennessee', 'Louisiana-Monroe', 'Samford', 'South Alabama', 'Southern Miss', 'Auburn', 'Missouri']"
2,Lideatrick Griffin,https://247sports.com/player/lideatrick-griffin-46054282,ATH ,0.9043," Philadelphia (Philadelphia, MS)    ","['Mississippi State', 'Illinois', 'Maryland', 'Ole Miss', 'Auburn', 'Memphis', 'Southern Miss', 'Tennessee', 'Alabama', 'Arkansas']"
3,Jordan Davis,https://247sports.com/player/jordan-davis-91082,WDE ,0.9034," Copiah-Lincoln C.C. (Wesson, MS)                    ","['Mississippi State', 'Alabama', 'Tennessee', 'Colorado', 'Nebraska', 'Oregon']"
4,Malik Heath,https://247sports.com/player/malik-heath-85252,WR ,0.8913," Copiah-Lincoln C.C. (Wesson, MS)                    ","['Mississippi State', 'Florida', 'South Carolina', 'Arkansas', 'Georgia', 'Kentucky', 'Louisville', 'Memphis', 'Missouri', 'Ole Miss', 'Tennessee', 'Washington State', 'Alabama', 'Auburn', 'UCF']"
5,Dillon Johnson,https://247sports.com/player/dillon-johnson-46053816,ATH ,0.8830," St Joseph (Greenville, MS)                  ","['Mississippi State', 'Ole Miss', 'Oregon', 'Arkansas', 'Arkansas State', 'Austin Peay', 'Louisiana', 'Louisiana Tech', 'Louisville', 'Memphis', 'Missouri', 'Southern Miss', 'UT Martin', 'Washington State', 'Duke', 'Kentucky', 'North Carolina', 'Notre Dame', 'Purdue', 'Tennessee']"
6,Janari Dean,https://247sports.com/player/janari-dean-46046825,S ,0.8742," South Panola (Batesville, MS)    ","['Mississippi State', 'South Carolina', 'Alabama', 'Arkansas', 'Georgia', 'Indiana', 'Louisiana Tech', 'Louisiana-Monroe', 'Ole Miss', 'Southern Miss', 'Tennessee', 'Auburn']"
7,Rodney Groce Jr.,https://247sports.com/player/rodney-groce-jr-46051888,ILB ,0.8742," Pleasant Grove  (Pleasant Grove, AL)      ","['Mississippi State', 'Nebraska', 'Akron', 'Alabama', 'Appalachian State', 'Auburn', 'FIU', 'Florida Atlantic', 'Georgia Southern', 'Georgia Tech', 'Jacksonville State', 'Kentucky', 'Liberty', 'Memphis', 'Middle Tennessee State', 'Oklahoma', 'Ole Miss', 'Purdue', 'South Alabama', 'Southern Miss', 'Tennessee', 'Troy', 'Tulane', 'UAB', 'Virginia Tech', 'West Virginia', 'Western Kentucky', 'Arkansas State', 'LSU']"
8,Tyrus Wheat,https://247sports.com/player/tyrus-wheat-46041869,ILB ,0.8722," Copiah-Lincoln C.C. (Wesson, MS)    ","['Mississippi State', 'Baylor', 'Arkansas', 'Kentucky', 'South Carolina', 'Auburn', 'Ole Miss', 'Southern Miss', 'Utah']"
9,Javorrius Selmon,https://247sports.com/player/javorrius-selmon-46053820,ATH ,0.8710," Provine (Jackson, MS)    ","['Mississippi State', 'Arkansas', 'Auburn', 'Florida', 'Louisville', 'Southern Miss', 'Georgia', 'LSU', 'Ole Miss']"
