,name,url,position,score,hometown,offers
0,Turner Corcoran,https://247sports.com/player/turner-corcoran-46054132,OT ,0.9800," Lawrence Free State (Lawrence, KS)    ","['Nebraska', 'Auburn', 'Clemson', 'Georgia', 'Iowa State', 'Kansas', 'Kansas State', 'LSU', 'Michigan', 'Mississippi State', 'Missouri', 'Notre Dame', 'Ohio State', 'Oklahoma', 'Oklahoma State', 'Tennessee', 'Wisconsin', 'Alabama', 'Colorado', 'Louisville', 'UCLA', 'USC']"
1,Zavier Betts,https://247sports.com/player/zavier-betts-46049733,WR ,0.9500," Bellevue West (Bellevue, NE)    ","['Nebraska', 'Iowa', 'Iowa State', 'Minnesota', 'South Dakota State']"
2,Keyshawn Greene,https://247sports.com/player/keyshawn-greene-46050924,OLB ,0.9329," Wakulla (Crawfordville, FL)    ","['Nebraska', 'Miami', 'Florida State', 'Arkansas', 'Florida', 'Florida Atlantic', 'Louisville', 'Southern Miss', 'UCF', 'Georgia Tech']"
3,Henry Gray,https://247sports.com/player/henry-gray-46051388,S ,0.9122," Miami Central (Miami, FL)    ","['Nebraska', 'Miami', 'Alabama', 'Arkansas', 'Auburn', 'Baylor', 'Boston College', 'Clemson', 'Florida', 'Florida Atlantic', 'Florida State', 'Georgia', 'Georgia Tech', 'Kentucky', 'Louisville', 'Michigan', 'Ohio State', 'Ole Miss', 'Penn State', 'Pittsburgh', 'South Carolina', 'Syracuse', 'Tennessee', 'Texas A&M', 'Tulane', 'UAB', 'UCF', 'USF']"
4,Omar Manning,https://247sports.com/player/omar-manning-82004,WR ,0.9053," Kilgore J.C. (Kilgore, TX)    ","['Nebraska', 'Arkansas', 'Boise State', 'Florida', 'Florida State', 'Houston', 'Indiana', 'Mississippi State', 'Missouri', 'Ole Miss', 'Oregon', 'TCU', 'Texas A&M', 'UCF', 'Utah']"
5,Logan Smothers,https://247sports.com/player/logan-smothers-46051967,DUAL ,0.8972," Muscle Shoals  (Muscle Shoals, AL)    ","['Nebraska', 'Austin Peay', 'Louisville', 'Ole Miss', 'Southern Miss', 'Troy', 'UAB']"
6,Sevion Morrison,https://247sports.com/player/sevion-morrison-46059276,RB ,0.8939," Edison (Tulsa, OK)    ","['Nebraska', 'Arkansas', 'Baylor', 'Colorado State', 'Georgia Tech', 'Iowa State', 'Kansas', 'Kansas State', 'Liberty', 'Memphis', 'Minnesota', 'Mississippi State', 'Missouri', 'Nevada', 'North Texas', 'SMU', 'Syracuse', 'UCF', 'Utah', 'Washington', 'Wisconsin', 'Kansas State', 'Michigan', 'Oklahoma', 'Oklahoma State', 'Tulsa']"
7,Blaise Gunnerson,https://247sports.com/player/blaise-gunnerson-46056665,SDE ,0.8801," Kuemper Catholic School System (Carroll, IA)    ","['Nebraska', 'Iowa State', 'Iowa', 'Kansas State', 'Minnesota', 'South Dakota State']"
8,Nash Hutmacher,https://247sports.com/player/nash-hutmacher-46056120,DT ,0.8722," Chamberlain (Chamberlain, SD)    ","['Nebraska', 'Wisconsin', 'Iowa State', 'Missouri', 'Oregon']"
9,Eteva Mauga-Clements,https://247sports.com/player/eteva-mauga-clements-46097169,OLB ,0.8688," Diablo Valley College (Pleasant Hill, CA)    ","['Nebraska', 'New Mexico', 'Southern Miss', 'San Diego State', 'South Alabama']"
