,name,url,position,score,hometown,offers
0,Peter Skoronski,https://247sports.com/player/peter-skoronski-46049080,OC ,0.9468," Maine South (Park Ridge, IL)    ","['Northwestern', 'Duke', 'Illinois', 'Iowa', 'Michigan', 'Notre Dame', 'Penn State', 'Stanford', 'Western Michigan', 'Wisconsin']"
1,Aidan Atkinson,https://247sports.com/player/aidan-atkinson-46050241,PRO ,0.9032," Fairview (Boulder, CO)    ","['Northwestern', 'Akron', 'Boise State', 'Colorado', 'Colorado State', 'Kansas', 'Nevada', 'Ole Miss', 'South Carolina', 'Penn State']"
2,Abdur-Rahmaan Yaseen,https://247sports.com/player/abdur-rahmaan-yaseen-46045585,WR ,0.8891," Walled Lake Western (Walled Lake, MI)    ","['Northwestern', 'Dartmouth', 'Louisville', 'Michigan State', 'Ball State', 'Boston College', 'Bowling Green', 'Central Michigan', 'Cincinnati', 'Eastern Michigan', 'Indiana', 'Iowa', 'Iowa State', 'Kent State', 'Kentucky', 'Liberty', 'Maryland', 'Minnesota', 'Nebraska', 'Northern Illinois', 'Purdue', 'Rutgers', 'Toledo', 'Virginia', 'Washington State', 'Western Illinois', 'Western Michigan']"
3,Josh Priebe,https://247sports.com/player/josh-priebe-46056908,OG ,0.8830," Edwardsburg (Edwardsburg, MI)    ","['Northwestern', 'Akron', 'Auburn', 'Boston College', 'Buffalo', 'Central Michigan', 'Cornell', 'Duke', 'Eastern Michigan', 'Harvard', 'Indiana', 'Iowa', 'Kansas State', 'Kent State', 'Louisville', 'Miami', 'Michigan', 'Michigan State', 'Minnesota', 'Nebraska', 'Northern Illinois', 'Ohio State', 'Purdue', 'Tennessee', 'Toledo', 'Vanderbilt', 'Western Michigan', 'Yale']"
4,Cullen Coleman,https://247sports.com/player/cullen-coleman-46079317,OLB ,0.8756," Rye Country Day School (Rye, NY)    ","['Northwestern', 'California', 'Purdue', 'Virginia', 'Alabama', 'Army', 'Baylor', 'Boston College', 'Brown', 'Columbia', 'Connecticut', 'Dartmouth', 'Harvard', 'Maryland', 'Massachusetts', 'Michigan', 'Michigan State', 'Nebraska', 'Notre Dame', 'Ohio State', 'Ole Miss', 'Penn State', 'Pennsylvania', 'Princeton', 'Rutgers', 'Stanford', 'Syracuse', 'Temple', 'Wisconsin', 'Yale', 'Central Connecticut State', 'Connecticut', 'Wagner']"
5,Cameron Porter,https://247sports.com/player/cameron-porter-46053258,RB ,0.8742," La Salle (Cincinnati, OH)    ","['Northwestern', 'Akron', 'Bowling Green', 'Cincinnati', 'Iowa', 'Iowa State', 'Louisville', 'Minnesota', 'Purdue', 'Toledo', 'Western Michigan', 'Wisconsin']"
6,Jordan Butler,https://247sports.com/player/jordan-butler-46052408,DT ,0.8704," IMG Academy (Bradenton, FL)    ","['Northwestern', 'Vanderbilt', 'Arizona', 'Colorado', 'Kansas', 'Minnesota', 'Notre Dame', 'Oregon', 'Pittsburgh', 'USC', 'LSU', 'UCLA']"
7,Garnett Hollis,https://247sports.com/player/garnett-hollis-46047299,CB ,0.8689," Battle Ground Academy (Franklin, TN)    ","['Northwestern', 'Purdue', 'Vanderbilt', 'Arkansas', 'Cincinnati', 'Indiana', 'Liberty', 'Louisville', 'Rutgers', 'South Carolina', 'Southern Miss', 'Tulane', 'UTSA', 'Virginia', 'Georgia Tech', 'Middle Tennessee State', 'Wake Forest']"
8,Gunner Maldonado,https://247sports.com/player/gunner-maldonado-46055456,S ,0.8681," Chandler (Chandler, AZ)  ","['Northwestern', 'Arizona', 'Arizona State', 'Indiana', 'Iowa State', 'Memphis', 'South Dakota State', 'Utah State']"
9,Xander Mueller,https://247sports.com/player/xander-mueller-46080633,OLB ,0.8621," Wheaton North (Wheaton, IL)    ","['Northwestern', 'Air Force', 'Bowling Green', 'Dartmouth', 'Eastern Michigan', 'Illinois State', 'Kent State', 'Louisville', 'Miami (OH)', 'North Dakota State', 'Ohio', 'Princeton', 'Toledo', 'Western Michigan', 'Yale', 'Youngstown State', 'Duke', 'Iowa', 'Iowa State', 'Minnesota', 'Stanford']"
10,Terah Edwards,https://247sports.com/player/terah-edwards-46059470,OG ,0.8594," Groveport Madison (Groveport, OH)    ","['Northwestern', 'Ball State', 'Bowling Green', 'Buffalo', 'Eastern Michigan', 'Indiana', 'Iowa State', 'Kent State', 'Massachusetts', 'Michigan', 'Michigan State', 'Minnesota', 'Missouri', 'Ohio', 'Penn State', 'Pittsburgh', 'Purdue', 'Rutgers', 'Tennessee', 'Toledo', 'Vanderbilt', 'Western Michigan', 'Wyoming', 'Cincinnati', 'Miami (OH)', 'Ohio State', 'Wisconsin']"
11,Sean McLaughlin,https://247sports.com/player/sean-mclaughlin-46080634,SDE ,0.8573," Lincoln-Way East (Frankfort, IL)  ","['Northwestern', 'Boston College', 'Cincinnati', 'Eastern Michigan', 'Harvard', 'Illinois', 'Illinois State', 'Indiana', 'Iowa', 'Louisville', 'Miami (OH)', 'Minnesota', 'Princeton', 'Purdue', 'South Dakota', 'Syracuse', 'Toledo', 'Yale', 'Wisconsin']"
