,name,url,position,score,hometown,offers
0,Shane Illingworth,https://247sports.com/player/shane-illingworth-46047021,PRO ,0.9322," Norco (Norco, CA)    ","['Oklahoma State', 'Louisville', 'Arizona', 'Arizona State', 'Arkansas', 'Boston College', 'Colorado', 'Oregon State', 'San Jose State', 'Washington State', 'California', 'Hawaii', 'Notre Dame', 'UCLA', 'UNLV', 'USC']"
1,Trent Pullen,https://247sports.com/player/trent-pullen-46041328,OG ,0.8817," Connally (Waco, TX)    ","['Oklahoma State', 'Arkansas', 'Baylor', 'Boston College', 'Colorado', 'Houston', 'Kansas State', 'Louisiana Tech', 'LSU', 'North Texas', 'Purdue', 'SMU', 'Texas A&M', 'Texas State', 'Tulsa', 'Arkansas']"
2,Eli Russ,https://247sports.com/player/eli-russ-46051668,OG ,0.8796," Plainview (Ardmore, OK)    ","['Oklahoma State', 'Texas Tech', 'Arkansas', 'North Texas', 'Tulsa']"
3,Korie Black,https://247sports.com/player/korie-black-46041331,CB ,0.8776," Connally (Waco, TX)    ","['Oklahoma State', 'Baylor', 'Boise State', 'Colorado', 'Colorado State', 'Houston', 'Kansas State', 'Louisiana', 'Louisiana Tech', 'Minnesota', 'Missouri', 'Nebraska', 'North Texas', 'Purdue', 'SMU', 'Southern Miss', 'Syracuse', 'Texas State', 'Texas Tech', 'Tulsa', 'UTEP', 'UTSA']"
4,Matt Polk,https://247sports.com/player/matt-polk-46055203,WR ,0.8735," Saguaro (Scottsdale, AZ)    ","['Oklahoma State', 'California', 'Arizona', 'Arizona State', 'Florida', 'Iowa State', 'Kansas', 'Northern Arizona', 'Oregon State', 'Purdue', 'Tennessee', 'UCLA']"
5,Quinton Stewart,https://247sports.com/player/quinton-stewart-46083717,TE ,0.8688," Salina Central (Salina, KS)  ","['Oklahoma State', 'Iowa State', 'Kansas']"
6,Cade Bennett,https://247sports.com/player/cade-bennett-46055240,OG ,0.8613," Notre Dame Preparatory (Scottsdale, AZ)    ","['Oklahoma State', 'Arizona', 'Arizona State', 'Army', 'Boise State', 'Brigham Young', 'Colorado State', 'Georgia Tech', 'Iowa State', 'Kansas', 'Northern Arizona', 'Purdue', 'San Diego State', 'Syracuse', 'UNLV', 'Vanderbilt', 'Washington State', 'Air Force', 'California', 'Michigan State', 'Nevada', 'Northwestern', 'Notre Dame', 'Stanford', 'UCLA', 'Utah', 'Wisconsin', 'Wyoming']"
7,Jeff Roberson,https://247sports.com/player/jeff-roberson-46084874,ILB ,0.8585," Choctaw (Choctaw, OK)    ","['Oklahoma State', 'Illinois State', 'Kansas', 'Memphis', 'Minnesota', 'Nebraska', 'South Dakota State', 'Texas State', 'Texas Tech', 'Troy', 'Tulsa', 'Western Illinois', 'Wyoming']"
8,Jordan Reagan,https://247sports.com/player/jordan-reagan-46085534,CB ,0.8539," Bixby (Bixby, OK)    ","['Oklahoma State', 'Air Force', 'Army', 'Dartmouth', 'Memphis', 'Navy', 'New Mexico State', 'Northwestern Oklahoma State', 'Tulsa']"
9,Jabbar Muhammad,https://247sports.com/player/jabbar-muhammad-46041814,CB ,0.8519," DeSoto (DeSoto, TX)    ","['Oklahoma State', 'Colorado', 'Houston', 'North Texas', 'Texas Tech', 'Tulsa']"
10,Cole Thompson,https://247sports.com/player/cole-thompson-46081792,ILB ,0.8485," Norman (Norman, OK)    ","['Oklahoma State', 'Army', 'Eastern Michigan', 'Troy', 'Texas Tech']"
11,Brennan Presley,https://247sports.com/player/brennan-presley-46047128,ATH ,0.8424," Bixby (Bixby, OK)    ","['Oklahoma State', 'Air Force', 'Arkansas State', 'Army', 'Eastern Michigan', 'Memphis', 'New Mexico State', 'North Texas', 'Temple', 'William & Mary', 'Arkansas', 'Kansas State']"
12,Grant Mahon,https://247sports.com/player/grant-mahon-46040750,DT ,0.8410," Guyer (Denton, TX)    ",['Oklahoma State']
13,Zach Middleton,https://247sports.com/player/zach-middleton-46080060,S ,0.8390," Bishop Kelley (Tulsa, OK)    ","['Oklahoma State', 'Air Force', 'Arkansas State', 'Army', 'Eastern Michigan', 'Iowa State', 'William & Mary', 'Brigham Young']"
14,Monroe Mills,https://247sports.com/player/monroe-mills-46057059,OT ,0.8377," Father Tolton (Columbia, MO)    ","['Oklahoma State', 'Arkansas State', 'Buffalo', 'Central Michigan', 'Columbia', 'Dartmouth', 'Eastern Michigan', 'Harvard', 'Illinois', 'Indiana', 'Indiana State', 'Iowa State', 'Kansas', 'Missouri', 'Northern Illinois', 'Northern Iowa', 'Pennsylvania', 'Rutgers', 'Toledo', 'Tulane', 'Western Illinois', 'Cincinnati', 'Duke', 'Kentucky', 'Louisville', 'Minnesota', 'Missouri', 'Nebraska', 'North Carolina', 'Ohio State', 'Ole Miss', 'Penn State', 'SMU', 'Texas', 'Toledo', 'Wisconsin', 'Wyoming']"
15,Tyren Irby,https://247sports.com/player/tyren-irby-46093559,WDE ,0.8316," Northwest Mississippi C.C. (Senatobia, MS)  ","['Oklahoma State', 'Liberty', 'UAB']"
16,Nicolas Session,https://247sports.com/player/nicolas-session-46054063,S ,0.8282," East (Salt Lake City, UT)                  ","['Oklahoma State', 'Hawaii', 'Oregon State', 'Utah State', 'Brigham Young', 'Idaho State', 'Boise State', 'California', 'Kansas State', 'USC']"
