,name,url,position,score,hometown,offers
0,Jakivuan Brown,https://247sports.com/player/jakivuan-brown-46053490,OLB ,0.8893," Horn Lake (Horn Lake, MS)                    ","['Ole Miss', 'Mississippi State', 'Auburn', 'Baylor', 'Indiana', 'Kentucky', 'LSU', 'Memphis', 'Oregon', 'Southern Miss', 'Alabama', 'Auburn', 'Tennessee', 'Troy']"
1,De'Rickey Wright,https://247sports.com/player/derickey-wright-46078869,ATH ,0.8884," Gadsden City (Gadsden, AL)    ","['Ole Miss', 'Kentucky', 'Tennessee', 'Alabama', 'Duke', 'Florida Atlantic', 'Georgia Tech', 'Indiana', 'LSU', 'Miami', 'Mississippi State', 'Nebraska', 'Notre Dame', 'South Alabama', 'South Carolina', 'Southern Miss', 'Texas A&M', 'Troy', 'UAB', 'Vanderbilt', 'Virginia', 'Virginia Tech']"
2,Kris Abrams-Draine,https://247sports.com/player/kris-abrams-draine-46046921,WR ,0.8851," Spanish Fort (Spanish Fort, AL)                  ","['Ole Miss', 'West Virginia', 'LSU', 'Arkansas', 'FIU', 'Florida', 'Florida Atlantic', 'Florida State', 'Georgia Tech', 'Indiana', 'Kansas', 'Kentucky', 'Memphis', 'Middle Tennessee State', 'Mississippi State', 'Nebraska', 'Oregon', 'South Alabama', 'Tennessee', 'Troy', 'UAB', 'Virginia', 'Oklahoma']"
3,Eli Acker,https://247sports.com/player/eli-acker-46045402,OT ,0.8851," Heritage Academy (Columbus, MS)    ","['Ole Miss', 'Mississippi State', 'Alabama', 'Georgia', 'Miami', 'Nebraska', 'Notre Dame', 'Southern Miss', 'Arkansas']"
4,De'Arre McDonald,https://247sports.com/player/dearre-mcdonald-46058418,CB ,0.8848," Oakland (Murfreesboro, TN)    ","['Ole Miss', 'Arkansas', 'Kentucky', 'Louisville', 'Purdue', 'Purdue', 'South Carolina', 'Tulane', 'Vanderbilt', 'Virginia', 'Virginia Tech', 'Western Kentucky', 'Arkansas', 'Georgia Tech', 'Tennessee']"
5,Robert Scott,https://247sports.com/player/robert-scott-46082360,OT ,0.8776," Conway (Conway, AR)    ","['Ole Miss', 'Arkansas', 'Mississippi State', 'Nebraska', 'TCU', 'Arkansas State', 'Central Arkansas', 'Kansas', 'Louisiana', 'Louisville', 'Missouri', 'SMU', 'Tennessee', 'Vanderbilt']"
6,Daran Branch,https://247sports.com/player/daran-branch-46054701,CB ,0.8668," Amite (Amite, LA)    ","['Ole Miss', 'Southern Miss', 'Miami', 'Auburn', 'Colorado', 'Kansas', 'Kentucky', 'Louisiana Tech', 'Memphis', 'Oklahoma', 'Oklahoma State', 'Tulane', 'Indiana', 'LSU', 'Mississippi State', 'Tennessee']"
7,Austin Keys,https://247sports.com/player/austin-keys-46080850,ILB ,0.8658," Seminary (Seminary, MS)    ","['Ole Miss', 'Auburn', 'Arkansas State', 'Louisiana', 'Southern Miss', 'Mississippi State']"
8,DeSanto Rollins,https://247sports.com/player/desanto-rollins-46053453,DT ,0.8593," Parkview Baptist School (Baton Rouge, LA)    ","['Ole Miss', 'Colorado', 'Oregon', 'Tennessee', 'Virginia', 'Oklahoma', 'Texas', 'Colorado State', 'Houston', 'Louisiana', 'Louisiana Tech', 'Louisiana-Monroe', 'Nicholls State', 'Prairie View A&M', 'Rutgers', 'South Alabama', 'Southern Miss', 'Southern University', 'Kansas State', 'LSU', 'Tulane']"
9,DaMarcus Thomas,https://247sports.com/player/damarcus-thomas-46082648,TE ,0.8544," Saraland (Saraland, AL)    ","['Ole Miss', 'Southern Miss', 'Tennessee', 'Army', 'Louisiana', 'South Alabama', 'Southern University', 'Troy', 'Tulane', 'Tuskegee']"
10,Cedric Johnson,https://247sports.com/player/cedric-johnson-46085554,WDE ,0.8538," WP Davidson (Mobile, AL)    ","['Ole Miss', 'Kansas', 'Southern Miss', 'Tennessee', 'Air Force', 'Arkansas State', 'Central Michigan', 'Charlotte', 'FIU', 'Florida Atlantic', 'Jacksonville State', 'Samford', 'South Alabama', 'Southeastern Louisiana', 'Southern University', 'Tennessee State', 'Tulane', 'UAB']"
11,Luke Shouse,https://247sports.com/player/luke-shouse-46056814,OT ,0.8530," Ravenwood (Brentwood, TN)    ","['Ole Miss', 'Indiana', 'Army', 'Ball State', 'Charlotte', 'Cincinnati', 'Eastern Kentucky', 'Kansas', 'Liberty', 'Louisville', 'Marshall', 'Miami (OH)', 'Tennessee Tech', 'Toledo', 'Virginia Tech', 'Western Kentucky', 'Arkansas', 'East Tennessee State', 'Georgia Southern', 'Kentucky', 'Middle Tennessee State', 'Nebraska', 'Tennessee', 'UCF', 'Vanderbilt']"
12,An'Darius Coffey,https://247sports.com/player/andarius-coffey-46080851,ATH ,0.8498," Winona Secondary School (Winona, MS)    ","['Ole Miss', 'Southern Miss']"
13,Daylen Gill,https://247sports.com/player/daylen-gill-90718,S ,0.8495," Jones County J.C. (Ellisville, MS)                 ","['Ole Miss', 'Louisville', 'Purdue', 'Arkansas State', 'Louisiana', 'Louisiana-Monroe', 'Troy', 'Southern Miss']"
14,Jaycob Horn,https://247sports.com/player/jaycob-horn-46085257,WR ,0.8301," Tupelo (Tupelo, MS)    ","['Ole Miss', 'Austin Peay']"
