,name,url,position,score,hometown,offers
0,Noah Sewell,https://247sports.com/player/noah-sewell-46040411,ILB ,0.9903," Orem (Orem, UT)                    ","['Oregon', 'Georgia', 'Alabama', 'Arizona', 'Arizona State', 'Auburn', 'Brigham Young', 'California', 'Clemson', 'Florida', 'Florida State', 'Hawaii', 'Kansas State', 'LSU', 'Miami', 'Michigan', 'Nebraska', 'Nevada', 'Notre Dame', 'Ohio State', 'Oklahoma', 'Oklahoma State', 'Oregon State', 'Stanford', 'Tennessee', 'Texas A&M', 'USC', 'Utah', 'Utah State', 'Virginia', 'Washington', 'Washington State', 'Wisconsin']"
1,Johnny Wilson,https://247sports.com/player/johnny-wilson-46036733,WR ,0.9595," Calabasas (Calabasas, CA)    ","['Oregon', 'Arizona State', 'Arizona', 'Arkansas', 'Baylor', 'Boise State', 'California', 'Colorado', 'Colorado State', 'Florida', 'Florida State', 'Fresno State', 'Georgia', 'Indiana', 'Kansas', 'Kansas State', 'Louisville', 'LSU', 'Michigan', 'Michigan State', 'Nebraska', 'Northwestern', 'Notre Dame', 'Ohio State', 'Oregon State', 'Penn State', 'San Diego State', 'SMU', 'Tennessee', 'Texas', 'Texas A&M', 'UCLA', 'USC', 'Utah State', 'Virginia', 'Washington', 'Washington State']"
2,Jay Butterfield,https://247sports.com/player/jay-butterfield-46047108,PRO ,0.9494," Liberty (Brentwood, CA)                  ","['Oregon', 'Arizona', 'Arizona State', 'California', 'Central Michigan', 'Colorado', 'Fresno State', 'Howard', 'Iowa State', 'Michigan', 'Nevada', 'Oregon State', 'San Jose State', 'Tennessee', 'Washington State', 'Stanford', 'USC', 'Washington']"
3,Luke Hill,https://247sports.com/player/luke-hill-46046313,CB ,0.9384," St. Frances Academy (Baltimore, MD)                  ","['Oregon', 'Alabama', 'Boston College', 'Clemson', 'Colorado', 'Florida', 'Kentucky', 'Maryland', 'Massachusetts', 'Michigan', 'Missouri', 'Nebraska', 'Oklahoma', 'Penn State', 'Rutgers', 'South Carolina', 'Syracuse', 'Temple', 'Texas A&M', 'Virginia', 'Virginia Tech', 'West Virginia', 'Georgia Tech']"
4,Myles Slusher,https://247sports.com/player/myles-slusher-46048503,S ,0.9339," Broken Arrow (Broken Arrow, OK)                    ","['Oregon', 'Arkansas', 'Nebraska', 'UCLA', 'Georgia', 'Mississippi State', 'Alabama', 'Arkansas State', 'Baylor', 'Colorado', 'Georgia Tech', 'Iowa State', 'Kansas', 'LSU', 'Memphis', 'Michigan', 'Minnesota', 'Missouri', 'Nevada', 'Notre Dame', 'Oklahoma State', 'Ole Miss', 'TCU', 'Texas', 'Texas A&M', 'Texas Tech', 'Troy', 'West Virginia', 'Oklahoma']"
5,Kris Hutson,https://247sports.com/player/kris-hutson-46047149,WR ,0.9140," St. John Bosco (Bellflower, CA)    ","['Oregon', 'USC', 'Arizona', 'Arizona State', 'Colorado', 'Penn State', 'San Jose State', 'Utah', 'Howard', 'LSU', 'Minnesota', 'UCLA', 'Vanderbilt']"
6,Jaden Navarrette,https://247sports.com/player/jaden-navarrette-46040464,ATH ,0.9045," Norco (Norco, CA)                  ","['Oregon', 'LSU', 'Arizona', 'Arizona State', 'Colorado', 'Hawaii', 'Michigan', 'Nebraska', 'Oregon State', 'Tennessee', 'UNLV', 'USC', 'Washington', 'Alabama', 'Notre Dame']"
7,Jonathan Denis,https://247sports.com/player/jonathan-denis-46046872,OG ,0.8901," South Dade (Homestead, FL)                    ","['Oregon', 'Indiana', 'Louisville', 'Miami', 'Auburn', 'FIU', 'Florida', 'Florida A&M', 'Florida Atlantic', 'Florida State', 'Georgia', 'Georgia Tech', 'Kent State', 'Kentucky', 'LSU', 'Marshall', 'Maryland', 'Mississippi State', 'NC State', 'Nebraska', 'North Carolina', 'Ole Miss', 'Pittsburgh', 'Southern Miss', 'Tennessee', 'Toledo', 'Tulane', 'UAB', 'USF', 'Valdosta State', 'West Virginia', 'Western Kentucky']"
8,T.J. Bass,https://247sports.com/player/t-j-bass-46081145,OG ,0.8817," Butte College (Oroville, CA)                    ","['Oregon', 'Arizona State', 'Auburn', 'Boise State', 'Fresno State', 'Idaho', 'Kansas State', 'Kent State', 'TCU', 'UCLA', 'Utah', 'Washington State', 'West Virginia']"
9,Jackson LaDuke,https://247sports.com/player/jackson-laduke-46052106,OLB ,0.8808," Spanish Springs (Sparks, NV)    ","['Oregon', 'UCLA', 'Arizona', 'Arizona State', 'Boise State', 'Colorado', 'Fresno State', 'Kansas State', 'Nebraska', 'Nevada', 'Oregon State', 'San Diego State', 'Tennessee', 'UNLV', 'USC', 'Utah', 'Vanderbilt', 'Washington State', 'Wisconsin', 'Yale']"
