,name,url,position,score,hometown,offers
0,Jordan Addison,https://247sports.com/player/jordan-addison-46057163,WR ,0.9044," Tuscarora (Frederick, MD)    ","['Pittsburgh', 'East Carolina', 'James Madison', 'Kent State', 'Maryland', 'Massachusetts', 'Notre Dame', 'Old Dominion', 'South Carolina', 'Temple', 'Virginia', 'Wake Forest']"
1,Dayon Hayes,https://247sports.com/player/dayon-hayes-46082054,SDE ,0.8934," Westinghouse (Pittsburgh, PA)    ","['Pittsburgh', 'Ball State', 'Bowling Green', 'Howard', 'Illinois', 'Kent State', 'Massachusetts', 'Michigan State', 'Navy', 'Ohio State', 'Penn State', 'Syracuse', 'Texas A&M', 'Toledo', 'West Virginia', 'William & Mary', 'Youngstown State']"
2,Israel Abanikanda,https://247sports.com/player/israel-abanikanda-46041602,RB ,0.8842," Abraham Lincoln (Brooklyn, NY)    ","['Pittsburgh', 'Duke', 'Boston College', 'Buffalo', 'California', 'Fordham', 'Massachusetts', 'Purdue', 'Rutgers', 'Syracuse', 'Temple', 'Tennessee', 'Toledo', 'UAB', 'Vanderbilt', 'Virginia Tech', 'West Virginia', 'Baylor', 'Connecticut', 'Florida', 'Illinois', 'Maryland', 'Michigan', 'Notre Dame', 'Purdue', 'Wake Forest', 'Wisconsin']"
3,Jaylon Barden,https://247sports.com/player/jaylon-barden-46054280,WR ,0.8780," Westside (Macon, GA)    ","['Pittsburgh', 'Tennessee', 'Army', 'Ball State', 'Coastal Carolina', 'Colorado State', 'Cornell', 'Eastern Kentucky', 'Georgia Southern', 'Georgia State', 'Indiana', 'Kentucky', 'Mercer', 'Murray State', 'Navy', 'Old Dominion', 'South Alabama', 'Tennessee State', 'Troy']"
4,Branson Taylor,https://247sports.com/player/branson-taylor-46079939,OT ,0.8769," Elyria Catholic (Elyria, OH)    ","['Pittsburgh', 'Akron', 'Ball State', 'Cincinnati', 'Indiana', 'Iowa State', 'Kansas', 'Kent State', 'Kentucky', 'Louisville', 'Maryland', 'Michigan State', 'Minnesota', 'Missouri', 'Purdue', 'Rutgers', 'Syracuse', 'Tennessee', 'Toledo', 'West Virginia', 'Michigan']"
5,Jahvante Royal,https://247sports.com/player/jahvante-royal-46051550,S ,0.8757," St. Thomas Aquinas (Fort Lauderdale, FL)    ","['Pittsburgh', 'Miami', 'Bowling Green', 'Cincinnati', 'Florida', 'Florida State', 'Georgia', 'Kentucky', 'Louisville', 'Maryland', 'Minnesota', 'NC State', 'Ohio State', 'Penn State', 'Syracuse', 'Tennessee', 'Toledo', 'Virginia']"
6,Bangally Kamara,https://247sports.com/player/bangally-kamara-46056135,OLB ,0.8727," East (Akron, OH)    ","['Pittsburgh', 'Cincinnati', 'Akron', 'Ball State', 'Bowling Green', 'Buffalo', 'Central Michigan', 'Eastern Michigan', 'Indiana', 'Iowa State', 'Kent State', 'Kentucky', 'Liberty', 'Maryland', 'Massachusetts', 'Michigan', 'Michigan State', 'Minnesota', 'Nebraska', 'Ohio', 'Penn State', 'Purdue', 'Rutgers', 'Syracuse', 'Toledo', 'Western Michigan', 'Ohio State']"
7,Timothy Brown,https://247sports.com/player/timothy-brown-46080264,DT ,0.8688," Palm Beach Gardens (Palm Beach Gardens, FL)    ","['Pittsburgh', 'Auburn', 'East Carolina', 'FIU', 'Florida', 'Florida Atlantic', 'Florida State', 'Georgia State', 'Indiana', 'Marshall', 'Miami', 'Missouri', 'Nebraska', 'Ole Miss', 'Penn State', 'Rutgers', 'Southern Miss', 'Syracuse', 'UCF', 'USF', 'Wake Forest', 'West Virginia', 'Western Kentucky']"
8,Aydin Henningham,https://247sports.com/player/aydin-henningham-46037227,WR ,0.8662," Deerfield Beach (Deerfield Beach, FL)    ","['Pittsburgh', 'Boston College', 'FIU', 'Florida', 'Florida Atlantic', 'Illinois', 'Iowa State', 'Kentucky', 'LSU', 'Minnesota', 'Mississippi State', 'Missouri', 'NC State', 'Ohio State', 'South Carolina', 'Syracuse', 'Temple', 'Tennessee', 'Virginia Tech', 'Miami']"
9,Michael Statham,https://247sports.com/player/michael-statham-46057170,OT ,0.8635," St. Frances Academy (Baltimore, MD)    ","['Pittsburgh', 'Maryland', 'Massachusetts', 'Michigan', 'Michigan State', 'Missouri', 'Syracuse', 'West Virginia', 'LSU']"
10,Solomon DeShields,https://247sports.com/player/solomon-deshields-46051020,OLB ,0.8606," Millville (Millville, NJ)    ","['Pittsburgh', 'Baylor', 'East Carolina', 'Iowa State', 'Kentucky', 'Maryland', 'Massachusetts', 'Memphis', 'Michigan State', 'Minnesota', 'Missouri', 'Oklahoma State', 'Oregon', 'Rutgers', 'SMU', 'Syracuse', 'Temple', 'West Virginia']"
11,AJ Roberts,https://247sports.com/player/aj-roberts-46077063,OLB ,0.8485," Tottenville (Staten Island, NY)    ","['Pittsburgh', 'Boston College', 'Buffalo', 'Dartmouth', 'Duke', 'LSU', 'Massachusetts', 'Purdue', 'Rutgers', 'Syracuse', 'Temple', 'Wisconsin']"
12,Hunter Sellers,https://247sports.com/player/hunter-sellers-46050450,CB ,0.8450," Woodward Academy (Atlanta, GA)    ","['Pittsburgh', 'Appalachian State', 'Boston College', 'Colorado State', 'Duke', 'East Carolina', 'FIU', 'Georgia Southern', 'Indiana', 'Louisville', 'Maryland', 'Michigan State', 'Minnesota', 'Nebraska', 'Purdue', 'UCF', 'Western Kentucky', 'Wisconsin', 'Auburn']"
