,name,url,position,score,hometown,offers
0,Maliq Carr,https://247sports.com/player/maliq-carr-46042966,TE ,0.9197," Oak Park (Oak Park, MI)    ","['Purdue', 'Georgia', 'Texas A&M', 'Alabama A&M', 'Auburn', 'Boston College', 'Indiana', 'Iowa', 'Iowa State', 'Kentucky', 'LSU', 'Maryland', 'Miami', 'Michigan', 'Michigan State', 'Missouri', 'Morgan State', 'Nebraska', 'Northern Illinois', 'Notre Dame', 'Ohio State', 'Old Dominion', 'Penn State', 'Pittsburgh', 'Syracuse', 'Tennessee', 'Toledo', 'Western Michigan', 'Wisconsin']"
1,Michael Alaimo,https://247sports.com/player/michael-alaimo-46039728,PRO ,0.9076," St. Joseph Regional  (Montvale, NJ)    ","['Purdue', 'Michigan State', 'Boston College', 'California', 'Central Michigan', 'Cincinnati', 'Columbia', 'Kansas', 'Massachusetts', 'North Carolina', 'Oklahoma State', 'Pittsburgh', 'Rutgers', 'Temple', 'Tulane', 'West Virginia', 'Yale', 'Arkansas', 'Auburn', 'Duke', 'Florida', 'Georgia', 'Miami', 'NC State', 'Penn State', 'Princeton', 'UCF', 'Wyoming']"
2,Tirek Murphy,https://247sports.com/player/tirek-murphy-46041773,RB ,0.9054," Christ The King Regional (Middle Village, NY)    ","['Purdue', 'Arizona State', 'Baylor', 'Boston College', 'Buffalo', 'Cincinnati', 'Duke', 'Florida Atlantic', 'Georgia Tech', 'Indiana', 'Kentucky', 'Louisville', 'LSU', 'Maryland', 'Massachusetts', 'Miami', 'Michigan', 'Michigan State', 'Missouri', 'Nebraska', 'Notre Dame', 'Old Dominion', 'Oregon', 'Pittsburgh', 'Rutgers', 'South Carolina', 'Syracuse', 'Temple', 'Tennessee', 'Texas A&M', 'Alabama', 'Clemson', 'Connecticut', 'Fordham', 'Monmouth', 'Ohio State', 'Old Dominion', 'Penn State', 'Pittsburgh', 'Stony Brook', 'Virginia', 'Wagner']"
3,Collin Sullivan,https://247sports.com/player/collin-sullivan-46037998,WR ,0.8809," Round Rock (Round Rock, TX)    ","['Purdue', 'Arizona', 'Arkansas', 'Baylor', 'Boston College', 'Colorado', 'Colorado State', 'Houston', 'Kansas', 'Northwestern', 'Oregon', 'Rutgers', 'SMU', 'Vanderbilt', 'Oklahoma', 'Texas']"
4,Gus Hartwig,https://247sports.com/player/gus-hartwig-46041714,OC ,0.8796," Zionsville (Zionsville, IN)    ","['Purdue', 'Ball State', 'Bowling Green', 'Cincinnati', 'Illinois', 'Indiana', 'Kansas', 'Miami (OH)', 'Northern Illinois', 'Ohio', 'Vanderbilt', 'Virginia', 'Western Michigan', 'Iowa', 'Northwestern']"
5,Greg Hudgins,https://247sports.com/player/greg-hudgins-46051374,WDE ,0.8762," St. John's College HS (Washington, DC)    ","['Purdue', 'Vanderbilt', 'Boston College', 'East Carolina', 'Indiana', 'LSU', 'Maryland', 'Massachusetts', 'Michigan', 'Michigan State', 'Nebraska', 'Ole Miss', 'Temple', 'Tennessee', 'Arkansas', 'Penn State', 'UCLA']"
6,Bryce Austin,https://247sports.com/player/bryce-austin-46055483,DT ,0.8689," Southfield (Southfield, MI)  ","['Purdue', 'Akron', 'Arizona', 'Ball State', 'Boston College', 'Bowling Green', 'Buffalo', 'Central Michigan', 'Florida Atlantic', 'Indiana', 'Iowa State', 'Kansas', 'Kent State', 'Kentucky', 'Louisville', 'Maryland', 'Michigan', 'Michigan State', 'Minnesota', 'Missouri', 'Northern Illinois', 'Penn State', 'Pittsburgh', 'Rutgers', 'Syracuse', 'Temple', 'Toledo', 'Washington State', 'West Virginia', 'Western Michigan']"
7,Antonio Stevens,https://247sports.com/player/antonio-stevens-46058739,S ,0.8682," Battle Ground Academy (Franklin, TN)    ","['Purdue', 'Charlotte', 'Cincinnati', 'Louisville', 'Memphis', 'Minnesota', 'Missouri', 'South Carolina', 'Tulane', 'UTSA', 'Virginia', 'Wake Forest', 'Western Kentucky']"
8,Ben Kreul,https://247sports.com/player/ben-kreul-46055301,ILB ,0.8593," Catholic Memorial (Waukesha, WI)    ","['Purdue', 'Iowa State', 'Nebraska', 'Iowa', 'Michigan', 'Michigan State', 'Northern Illinois', 'Wisconsin']"
9,Marcellus Moore,https://247sports.com/player/marcellus-moore-46076682,APB ,0.8551," Plainfield North (Plainfield, IL)    ","['Purdue', 'Ball State', 'Bowling Green', 'Cincinnati', 'Coastal Carolina', 'Illinois', 'Illinois State', 'Iowa', 'Iowa State', 'Kansas State', 'Kentucky', 'Memphis', 'Minnesota', 'Missouri', 'Nebraska', 'Northern Illinois', 'Ole Miss', 'Tennessee', 'Toledo', 'Vanderbilt', 'Western Kentucky', 'Western Michigan', 'Baylor', 'Michigan', 'Michigan State', 'Missouri', 'Notre Dame', 'Oregon', 'Virginia Tech']"
