,name,url,position,score,hometown,offers
0,Myles Hinton,https://247sports.com/player/myles-hinton-46035273,OT ,0.9675," Greater Atlanta Christian School (Norcross, GA)    ","['Stanford', 'Alabama', 'Florida', 'Georgia', 'Maryland', 'Miami', 'Michigan', 'Michigan State', 'Ohio State', 'Oklahoma', 'Ole Miss', 'Tennessee', 'USC', 'Virginia Tech']"
1,John Humphreys,https://247sports.com/player/john-humphreys-46049082,WR ,0.9470," Corona Del Mar (Newport Beach, CA)    ","['Stanford', 'Arizona State', 'California', 'Colorado', 'Duke', 'Florida State', 'Miami', 'Nebraska', 'Notre Dame', 'Oregon', 'Oregon State', 'Rutgers', 'San Diego State', 'Tennessee', 'UCLA', 'USC', 'Utah', 'Washington', 'Washington State', 'Yale']"
2,Ayden Hector,https://247sports.com/player/ayden-hector-46042835,CB ,0.9066," Eastside Catholic (Sammamish, WA)    ","['Stanford', 'Alabama', 'Arizona', 'Arizona State', 'Boise State', 'California', 'Colorado', 'Florida', 'Florida State', 'Nebraska', 'New Mexico', 'Northwestern', 'Oregon', 'Oregon State', 'Penn State', 'UCLA', 'USC', 'Utah', 'Vanderbilt', 'Washington', 'Washington State', 'Wisconsin']"
3,Connor McLaughlin,https://247sports.com/player/connor-mclaughlin-46079048,OT ,0.9012," Jesuit (Tampa, FL)    ","['Stanford', 'Georgia Tech', 'Iowa', 'Army', 'Boston College', 'Dartmouth', 'Duke', 'Florida State', 'Harvard', 'Illinois', 'Indiana', 'Louisville', 'Maryland', 'Miami', 'Michigan State', 'Nebraska', 'North Carolina', 'Northwestern', 'Princeton', 'Syracuse', 'Toledo', 'UCLA', 'USC', 'USF', 'Vanderbilt', 'Virginia', 'Wake Forest', 'Washington State', 'Yale', 'UCF']"
4,Levi Rogers,https://247sports.com/player/levi-rogers-46057296,OG ,0.8905," Woodinville (Woodinville, WA)    ","['Stanford', 'Arizona', 'Arizona State', 'Boise State', 'California', 'Colorado', 'Oregon', 'Oregon State', 'UCLA', 'USC', 'Utah', 'Utah State', 'Washington State']"
5,Brandon Jones,https://247sports.com/player/brandon-jones-46036794,CB ,0.8904," Narbonne (Harbor City, CA)    ","['Stanford', 'Arizona', 'Arizona State', 'Boston College', 'Brigham Young', 'California', 'Colorado', 'Kansas State', 'Louisville', 'Michigan', 'Nebraska', 'Oregon', 'Oregon State', 'Utah', 'Vanderbilt', 'USC']"
6,Drake Metcalf,https://247sports.com/player/drake-metcalf-46039817,OC ,0.8883," St. John Bosco (Bellflower, CA)    ","['Stanford', 'Arizona State', 'Dartmouth', 'Florida State', 'Hawaii', 'Indiana', 'Iowa State', 'Kansas', 'Louisville', 'North Carolina', 'Oregon', 'Penn State', 'Pittsburgh', 'TCU', 'UNLV', 'USC', 'Utah State', 'Virginia', 'Yale', 'Alabama', 'Arkansas', 'Florida', 'Georgia', 'LSU', 'Michigan', 'Notre Dame', 'Oklahoma', 'Ole Miss', 'Texas A&M', 'Virginia Tech', 'Washington']"
7,Lukas Ungar,https://247sports.com/player/lukas-ungar-46052338,TE ,0.8871," Delbarton School (Morristown, NJ)    ","['Stanford', 'California', 'Clemson', 'Duke', 'Georgia', 'LSU', 'Maryland', 'Michigan', 'Michigan State', 'North Carolina', 'Northwestern', 'Ohio State', 'Penn State', 'Pittsburgh', 'Purdue', 'Rutgers', 'Syracuse', 'Vanderbilt', 'Virginia', 'West Virginia', 'Wisconsin', 'Yale', 'Boston College', 'Notre Dame', 'Pennsylvania']"
8,Tobin Phillips,https://247sports.com/player/tobin-phillips-46055067,DT ,0.8863," San Joaquin Memorial (Fresno, CA)    ","['Stanford', 'California', 'Fresno State', 'Oregon State', 'San Jose State', 'UCLA', 'Boise State', 'Oregon', 'Washington', 'Washington State']"
9,Bryce Farrell,https://247sports.com/player/bryce-farrell-46039103,WR ,0.8847," Oaks Christian (Westlake Village, CA)    ","['Stanford', 'USC', 'Arizona State', 'Brigham Young', 'California', 'Florida', 'Michigan', 'Nebraska', 'Nevada', 'Notre Dame', 'San Jose State', 'TCU', 'USC', 'Utah', 'Washington State', 'North Carolina', 'Penn State', 'Texas Tech', 'UCLA']"
