,name,url,position,score,hometown,offers
0,Garrett Hayes,https://247sports.com/player/garrett-hayes-46051207,OT ,0.9656," Athens (Athens, TX)    ","['TCU', 'Arkansas', 'Baylor', 'Colorado', 'Florida State', 'Houston', 'Illinois', 'Kansas', 'Louisiana Tech', 'LSU', 'Missouri', 'Nebraska', 'North Texas', 'Oklahoma', 'Oklahoma State', 'Ole Miss', 'Oregon', 'Southern Miss', 'Tennessee', 'Texas A&M', 'Texas Tech', 'Wyoming', 'Washington']"
1,Patrick Jenkins,https://247sports.com/player/patrick-jenkins-46057350,DT ,0.9095," John Ehret (Marrero, LA)    ","['TCU', 'LSU', 'Arizona', 'Arkansas', 'Austin Peay', 'Colorado', 'Colorado State', 'Eastern Illinois', 'Kansas', 'Louisiana', 'Louisiana Tech', 'Louisiana-Monroe', 'Memphis', 'Miami', 'Mississippi State', 'Missouri', 'Nicholls State', 'Northwestern State', 'Ole Miss', 'South Alabama', 'Southern University', 'Tennessee', 'Texas A&M', 'Troy', 'Tulane', 'UAB', 'UTSA']"
2,Keontae Jenkins,https://247sports.com/player/keontae-jenkins-94747,CB ,0.9062," Frank W. Cox (Virginia Beach, VA)    ","['TCU', 'Vanderbilt', 'Auburn', 'Baylor', 'Chattanooga', 'Duke', 'East Carolina', 'Florida', 'Florida Atlantic', 'Florida State', 'Hampton', 'Indiana', 'Louisville', 'LSU', 'Maryland', 'Michigan', 'Nebraska', 'North Carolina', 'Penn State', 'Pittsburgh', 'Temple', 'Tennessee', 'Virginia Tech', 'Wisconsin']"
3,Danny Gray,https://247sports.com/player/danny-gray-46039844,WR ,0.8893," Blinn College (Brenham, TX)    ","['TCU', 'Auburn', 'Baylor', 'Florida State', 'Houston', 'Illinois', 'Louisiana', 'Mississippi State', 'Missouri', 'North Texas', 'SMU', 'Southern Miss', 'Syracuse', 'Tennessee', 'Texas Tech', 'UCF', 'Utah', 'Washington State', 'Western Kentucky']"
4,Michael Nichols,https://247sports.com/player/michael-nichols-46084872,OT ,0.8844," Northwest (Justin, TX)    ","['TCU', 'Baylor', 'Central Arkansas', 'Louisiana-Monroe', 'SMU']"
5,Altrique Barlow,https://247sports.com/player/altrique-barlow-91484,OG ,0.8696," Catholic (Virginia Beach, VA)    ","['TCU', 'Auburn', 'Charlotte', 'Virginia Tech', 'Alabama', 'Florida', 'North Carolina']"
6,Dominic Richardson,https://247sports.com/player/dominic-richardson-46052171,RB ,0.8667," Bishop McGuinness (Oklahoma City, OK)    ","['TCU', 'Arkansas', 'Colorado', 'Iowa State', 'Kansas', 'Memphis', 'Minnesota', 'Missouri', 'Nebraska', 'North Texas', 'SMU', 'Texas', 'Oklahoma', 'Oklahoma State']"
7,Brandon Coleman,https://247sports.com/player/brandon-coleman-46040674,OT ,0.8655," Trinity Valley C.C. (Athens, TX)  ","['TCU', 'Florida State', 'Houston', 'Iowa State', 'Louisiana-Monroe', 'Missouri', 'Tulsa']"
8,Tyler Bailey,https://247sports.com/player/tyler-bailey-46080265,OC ,0.8654," Robert Vela (Edinburg, TX)    ","['TCU', 'Houston', 'LSU', 'Missouri', 'North Texas', 'Oklahoma State', 'Oregon', 'SMU', 'Texas Tech', 'USC']"
9,Jimmy Holiday,https://247sports.com/player/jimmy-holiday-46051110,ATH ,0.8621," Madison Central (Madison, MS)    ","['TCU', 'Tennessee', 'Florida State', 'Ole Miss', 'Kansas', 'Mississippi State', 'Southern Miss', 'Air Force', 'Arkansas State', 'Austin Peay', 'Dartmouth', 'Jackson State', 'Louisiana', 'Louisiana-Monroe', 'Memphis', 'Nebraska', 'Rice']"
10,Eli Williams,https://247sports.com/player/eli-williams-46057766,DUAL ,0.8614," Sapulpa (Sapulpa, OK)    ","['TCU', 'Eastern Michigan', 'Kansas State', 'North Texas', 'Texas Tech', 'William & Mary', 'Louisville', 'Oklahoma', 'Oklahoma State', 'Tulsa']"
11,Caleb Medford,https://247sports.com/player/caleb-medford-46080193,WR ,0.8594," Henderson (Henderson, TX)    ","['TCU', 'Arkansas', 'Arkansas State', 'Baylor', 'Boston College', 'Illinois', 'Indiana', 'Louisiana', 'Louisiana Tech', 'Louisiana-Monroe', 'Memphis', 'Missouri', 'Ole Miss', 'Purdue', 'Southern Miss', 'Stephen F. Austin', 'Texas Tech', 'Tulane', 'Tulsa', 'Virginia']"
12,Blake Nowell,https://247sports.com/player/blake-nowell-46080269,WR ,0.8519," Plainview (Ardmore, OK)    ","['TCU', 'Air Force', 'Arkansas State', 'Army', 'Iowa State', 'Kansas', 'Kansas State', 'Minnesota', 'Navy', 'Tulsa']"
