,name,url,position,score,hometown,offers
0,Keshawn Lawrence,https://247sports.com/player/keshawn-lawrence-46036849,S ,0.9685," Ensworth (Nashville, TN)                  ","['Tennessee', 'Oklahoma', 'Ole Miss', 'LSU', 'Miami', 'Alabama', 'Auburn', 'Clemson', 'Florida', 'Georgia', 'Louisville', 'Memphis', 'Mississippi State', 'Missouri', 'Ohio State', 'Penn State', 'Purdue', 'South Carolina', 'Texas A&M', 'USC', 'Vanderbilt', 'Virginia Tech', 'West Virginia', 'Arkansas', 'Georgia Tech']"
1,Omari Thomas,https://247sports.com/player/omari-thomas-46048092,DT ,0.9514," Briarcrest Christian (Memphis, TN)                  ","['Tennessee', 'Auburn', 'Texas A&M', 'Alabama', 'Arkansas', 'Clemson', 'Florida', 'Florida', 'Florida State', 'Georgia Tech', 'Indiana', 'Kentucky', 'LSU', 'Memphis', 'Miami', 'Mississippi State', 'Missouri', 'Nebraska', 'Oklahoma', 'Ole Miss', 'Penn State', 'Purdue', 'South Carolina', 'Texas', 'Tulsa', 'Virginia', 'West Virginia']"
2,Harrison Bailey,https://247sports.com/player/harrison-bailey-83301,PRO ,0.9438," Marietta (Marietta, GA)                    ","['Tennessee', 'Alabama', 'Appalachian State', 'Auburn', 'Florida', 'Florida State', 'Georgia', 'Georgia Tech', 'Kentucky', 'LSU', 'Maryland', 'Miami', 'Michigan', 'Mississippi State', 'NC State', 'North Carolina', 'Ohio State', 'Oklahoma', 'Ole Miss', 'Purdue', 'Syracuse', 'Texas A&M', 'Arkansas', 'Michigan State', 'West Virginia']"
3,Dominic Bailey,https://247sports.com/player/dominic-bailey-46053621,DT ,0.9184," St. Frances Academy (Baltimore, MD)                    ","['Tennessee', 'Boston College', 'Colorado', 'Duke', 'Florida', 'Georgia', 'Kentucky', 'Maryland', 'Nebraska', 'North Carolina', 'Notre Dame', 'Penn State', 'Pittsburgh', 'Rutgers', 'Temple', 'Virginia', 'Virginia Tech', 'West Virginia']"
4,Jimmy Calloway,https://247sports.com/player/jimmy-calloway-46079871,ATH ,0.9104," Morrow (Morrow, GA)    ","['Tennessee', 'Kentucky', 'Virginia Tech', 'Auburn', 'Florida', 'Oklahoma', 'South Carolina', 'Coastal Carolina', 'Colorado State', 'Georgia Southern', 'Georgia Tech', 'Kansas', 'Kent State', 'Oregon', 'South Alabama', 'Troy', 'Western Kentucky']"
5,Bryson Eason,https://247sports.com/player/bryson-eason-46037377,ILB ,0.8965," Whitehaven (Memphis, TN)                  ","['Tennessee', 'Arkansas', 'Cincinnati', 'Florida', 'Florida State', 'Georgia', 'Georgia Tech', 'Louisiana', 'LSU', 'Memphis', 'Michigan', 'Minnesota', 'Mississippi State', 'Missouri', 'Oklahoma', 'Ole Miss', 'Oregon', 'South Carolina', 'Syracuse', 'Texas A&M', 'Vanderbilt', 'Virginia Tech', 'Clemson']"
6,Cooper Mays,https://247sports.com/player/cooper-mays-45573208,OC ,0.8960," Knoxville Catholic (Knoxville, TN)                    ","['Tennessee', 'Auburn', 'Duke', 'Florida', 'Georgia', 'LSU', 'Memphis', 'Mississippi State', 'Ohio State', 'Princeton', 'Vanderbilt', 'Virginia Tech', 'West Virginia', 'Arkansas']"
7,Jalin Hyatt,https://247sports.com/player/jalin-hyatt-46056575,WR ,0.8958," Dutch Fork (Irmo, SC)                  ","['Tennessee', 'Virginia Tech', 'Appalachian State', 'Arkansas', 'Coastal Carolina', 'Duke', 'East Carolina', 'Indiana', 'Kentucky', 'Miami', 'Michigan', 'Nebraska', 'Penn State', 'Virginia', 'Wake Forest', 'West Virginia', 'Clemson', 'South Carolina']"
8,Martavius French,https://247sports.com/player/martavius-french-46052714,ILB ,0.8948," Whitehaven (Memphis, TN)                  ","['Tennessee', 'Arkansas', 'Cincinnati', 'Florida', 'Georgia Tech', 'Indiana', 'Kentucky', 'Louisville', 'LSU', 'Memphis', 'Missouri', 'Oklahoma', 'Ole Miss', 'Oregon', 'Purdue', 'Southern Miss', 'West Virginia', 'Alabama', 'Clemson', 'Iowa State', 'Mississippi State', 'South Carolina', 'Vanderbilt']"
9,Tamarion McDonald,https://247sports.com/player/tamarion-mcdonald-46056639,OLB ,0.8720," Whitehaven (Memphis, TN)                  ","['Tennessee', 'Arkansas', 'Mississippi State', 'Cincinnati', 'Indiana', 'Kentucky', 'Liberty', 'LSU', 'Memphis', 'Ole Miss', 'Southern Miss', 'Western Kentucky']"
