,name,url,position,score,hometown,offers
0,David Vincent-Okoli,https://247sports.com/player/david-vincent-okoli-46084530,CB ,0.9049," The Bullis School (Potomac, MD)    ","['West Virginia', 'Maryland', 'Buffalo', 'Cincinnati', 'Coastal Carolina', 'Connecticut', 'East Carolina', 'Kent State', 'Kentucky', 'Massachusetts', 'Monmouth', 'Temple', 'Toledo']"
1,Chris Mayo,https://247sports.com/player/chris-mayo-88525,OG ,0.8824," The Peddie School (Hightstown, NJ)    ","['West Virginia', 'Kentucky', 'Purdue', 'Arizona State', 'Auburn', 'Indiana', 'Maryland', 'Minnesota', 'Nebraska', 'Pittsburgh', 'Rutgers', 'Syracuse', 'Temple', 'Tennessee', 'Virginia', 'Wake Forest', 'Notre Dame', 'Penn State']"
2,Sean Martin,https://247sports.com/player/sean-martin-46058833,SDE ,0.8767," Bluefield (Bluefield, WV)    ","['West Virginia', 'North Carolina', 'Penn State', 'Purdue', 'Baylor', 'Connecticut', 'Duke', 'Georgia Tech', 'Illinois', 'Indiana', 'Kentucky', 'Marshall', 'Maryland', 'Michigan State', 'Minnesota', 'NC State', 'Oregon', 'Pittsburgh', 'Rutgers', 'Temple', 'Utah', 'Vanderbilt', 'Virginia', 'Virginia Tech']"
3,Garrett Greene,https://247sports.com/player/garrett-greene-46051824,DUAL ,0.8729," Lawton Chiles (Tallahassee, FL)      ","['West Virginia', 'FIU', 'Georgia Tech', 'Mississippi State', 'Ole Miss', 'South Alabama', 'TCU', 'Temple', 'Troy', 'UAB', 'USF', 'Arkansas', 'Arkansas']"
4,Zach Frazier,https://247sports.com/player/zach-frazier-46047960,OC ,0.8726," Fairmont (Fairmont, WV)    ","['West Virginia', 'Louisville', 'Marshall', 'Stanford', 'Virginia Tech', 'Wake Forest', 'Virginia', 'Virginia Tech']"
5,Devell Washington,https://247sports.com/player/devell-washington-46049867,WR ,0.8721," Arthur Hill (Saginaw, MI)    ","['West Virginia', 'Central Michigan', 'Eastern Michigan', 'Iowa State', 'Kentucky', 'Michigan', 'Michigan State', 'Ohio State', 'Purdue', 'Toledo', 'Western Michigan']"
6,Lanell Carr,https://247sports.com/player/lanell-carr-46050333,OLB ,0.8647," DeSmet (Saint Louis, MO)    ","['West Virginia', 'Rutgers', 'Arkansas', 'Colorado State', 'Georgia Tech', 'Indiana', 'Iowa', 'Iowa State', 'Kansas', 'Kansas State', 'Kent State', 'Kentucky', 'Louisiana Tech', 'Louisville', 'Maryland', 'Memphis', 'Syracuse', 'UCF', 'Virginia Tech', 'Western Kentucky', 'Western Michigan', 'Illinois', 'Missouri', 'Purdue']"
7,Jacob Gamble,https://247sports.com/player/jacob-gamble-46056141,OT ,0.8643," Iowa Western C.C. (Council Bluffs, IA)      ","['West Virginia', 'Akron', 'Arkansas State', 'Florida Atlantic', 'Florida State', 'Houston', 'Iowa State', 'Kansas State', 'Louisiana Tech', 'Louisville', 'Middle Tennessee State', 'Nebraska', 'Ohio', 'SMU', 'Troy', 'UAB', 'UTSA']"
8,Jordan White,https://247sports.com/player/jordan-white-46055582,OG ,0.8593," DeMatha Catholic (Hyattsville, MD)  ","['West Virginia', 'Maryland', 'LSU', 'Massachusetts', 'Ole Miss', 'Syracuse', 'Virginia', 'Wisconsin', 'Georgia Tech']"
9,Reese Smith,https://247sports.com/player/reese-smith-46050016,WR ,0.8592," Boyle County (Danville, KY)      ","['West Virginia', 'Austin Peay', 'Ball State', 'Cincinnati', 'Kentucky', 'Tennessee', 'Troy', 'UAB', 'Louisville', 'Ohio State', 'Penn State', 'Western Kentucky']"
10,Quay Mays,https://247sports.com/player/quay-mays-46083583,DT ,0.8589," Northwest Mississippi C.C. (Senatobia, MS)      ","['West Virginia', 'USF', 'Iowa State', 'Charlotte', 'Louisiana-Monroe', 'South Alabama', 'UCF']"
11,Jairo Faverus,https://247sports.com/player/jairo-faverus-46080004,CB ,0.8526," Bristol Academy (Bristol, UK)      ","['West Virginia', 'Cincinnati', 'Georgia Tech', 'Kent State', 'Minnesota', 'Penn State', 'Temple', 'Towson']"
12,Taurus Simmons,https://247sports.com/player/taurus-simmons-46053870,WDE ,0.8458," Jenkins (Savannah, GA)    ","['West Virginia', 'Coastal Carolina', 'Colorado', 'FIU', 'Georgia Southern', 'Georgia State', 'Kansas State', 'South Alabama', 'Tennessee State', 'Troy', 'Tulane', 'USF', 'East Carolina', 'Georgia Tech', 'South Carolina']"
13,Jackie Matthews,https://247sports.com/player/jackie-matthews-46084229,CB ,0.8445," Mississippi Gulf Coast C.C. (Perkinston, MS)                    ","['West Virginia', 'Arkansas State', 'Charlotte', 'Marshall', 'Old Dominion', 'South Alabama', 'Southern Miss', 'Troy', 'UAB', 'UCF', 'Western Kentucky', 'Arkansas', 'Auburn', 'LSU', 'Mississippi State']"
14,Charles Finley,https://247sports.com/player/charles-finley-46059128,TE ,0.8444," DePaul Catholic (Wayne, NJ)    ","['West Virginia', 'Boston College', 'Connecticut', 'East Carolina', 'Howard', 'Maryland', 'Massachusetts', 'Morgan State', 'Pittsburgh', 'Rutgers', 'Toledo', 'Western Michigan', 'Buffalo', 'Penn State', 'Virginia Tech']"
